Player,Team,Salary
Josh Allen,BUF,5300
Patrick Mahomes II,KAN,7600
Nick Mullens,SFO,4700
Russell Wilson,SEA,6300
Derek Carr,OAK,5000
Philip Rivers,LAC,5700
Carson Wentz,PHI,5600
Jameis Winston,TAM,6000
Marcus Mariota,TEN,5200
Cam Newton,CAR,6600
Baker Mayfield,CLE,5600
Tom Brady,NWE,5800
Ben Roethlisberger,PIT,6000
Lamar Jackson,BAL,5900
Ryan Tannehill,MIA,4900
Deshaun Watson,HOU,6100
Aaron Rodgers,GNB,6200
Dak Prescott,DAL,5400
Chase Daniel,CHI,4800
Matthew Stafford,DET,5400
Jeff Driskel,CIN,4500
Case Keenum,DEN,5200
Andrew Luck,IND,5800
Jared Goff,LAR,6400
Kirk Cousins,MIN,5500
Eli Manning,NYG,5000
Josh Rosen,ARI,4900
Cody Kessler,JAC,4500
Matt Ryan,ATL,5600
Drew Brees,NOR,6200
Josh McCown,NYJ,4400
Mark Sanchez,WAS,4000
Colt McCoy,WAS,4900
Robert Griffin III,BAL,4500
Taysom Hill,NOR,4000
Taylor Heinicke,CAR,4000
Joe Webb,HOU,4000
Geno Smith,LAC,4300
Blaine Gabbert,TEN,4600
