Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Cardinals, ARI",0.9,0.1,2.9,39.9,0.7,1.0,0.16,18.9,177.0,86.0,263,13,DST
"Patriots, NE",1.0,0.0,2.6,38.9,0.9,1.3,0.02,14.8,170.0,114.0,284,12,DST
"Vikings, MIN",1.1,0.2,2.6,43.6,1.0,1.4,0.21,18.8,241.0,110.0,351,12,DST
"Seahawks, SEA",0.6,0.0,2.7,42.0,0.8,1.1,0.11,17.9,184.0,94.0,278,12,DST
"Chiefs, KC",1.4,0.0,2.3,41.8,0.9,1.3,0.17,16.8,211.0,125.0,336,11,DST
"Lions, DET",1.1,0.0,3.3,40.9,0.8,1.2,0.13,19.2,243.0,92.0,335,11,DST
"Dolphins, MIA",1.1,0.0,2.3,39.3,0.5,0.6,0.23,17.4,203.0,103.0,306,10,DST
"Giants, NYG",1.3,0.0,1.7,39.6,0.8,1.0,0.09,15.5,217.0,101.0,318,10,DST
"Rams, LAR",0.6,0.0,2.6,39.8,0.9,1.2,0.12,18.3,197.0,110.0,307,10,DST
"Raiders, OAK",1.1,0.0,1.5,44.2,0.8,1.1,0.13,20.2,214.0,130.0,344,10,DST
"Bengals, CIN",0.6,0.0,2.6,41.4,0.5,0.7,0.18,17.6,174.0,147.0,321,9,DST
"Eagles, PHI",1.0,0.0,3.2,41.8,0.8,1.1,0.17,23.8,257.0,116.0,373,9,DST
"Steelers, PIT",0.4,0.0,2.4,41.5,0.9,1.3,0.11,16.7,221.0,106.0,327,9,DST
"Cowboys, DAL",0.9,0.0,1.7,45.0,0.7,1.0,0.1,18.3,227.0,91.0,318,9,DST
"Panthers, CAR",1.1,0.0,2.3,46.9,1.0,1.4,0.05,22.6,277.0,89.0,366,8,DST
"Redskins, WAS",0.6,0.0,2.8,40.1,1.0,1.3,0.09,21.6,211.0,119.0,330,8,DST
"Saints, NO",1.0,0.0,2.0,45.5,1.2,1.7,0.32,30.1,268.0,142.0,410,8,DST
"Bills, BUF",0.8,0.0,3.0,42.1,0.7,1.0,0.05,21.6,241.0,119.0,360,8,DST
"Bears, CHI",0.8,0.0,1.9,42.3,0.8,1.1,0.17,23.9,251.0,84.0,335,8,DST
"Buccaneers, TB",0.6,0.0,2.6,42.6,1.1,1.5,0.35,28.0,231.0,115.0,346,8,DST
"Titans, TEN",1.2,0.0,3.4,40.7,0.5,0.6,0.21,27.6,248.0,94.0,342,8,DST
"Colts, IND",0.9,0.0,2.0,40.8,0.8,1.2,0.09,24.4,223.0,133.0,356,7,DST
"Ravens, BAL",0.4,0.0,2.3,46.6,0.9,1.2,0.06,26.5,231.0,129.0,360,7,DST
"Texans, HOU",0.6,0.0,1.9,42.5,0.7,1.0,0.1,23.6,221.0,113.0,334,7,DST
"Browns, CLE",0.8,0.0,1.5,41.6,0.5,0.6,0.06,23.4,253.0,122.0,375,6,DST
"Packers, GB",1.1,0.0,2.5,45.2,0.6,0.9,0.08,27.3,293.0,122.0,415,6,DST
"Jaguars, JAC",0.6,0.1,2.4,41.2,0.4,0.6,0.06,28.9,228.0,86.0,314,4,DST
