Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,444.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,0.0,0.0,0.0,1.0,0.0,0.0,128.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,329.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,95.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,342.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,2.0,0.0,0.0,0.0,0.0,99.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,313.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,0.0,1.0,1.0,2.0,0.0,0.0,44.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,343.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,0.0,1.0,1.0,0.0,1.0,85.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,217.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,0.0,1.0,0.0,0.0,0.0,125.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,442.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,351.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,368.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,227.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,439.0,0.0,0.0,1.0,0.0,DST
New York Giants,NYG,1.0,4.0,1.0,0.0,1.0,0.0,0.0,99.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,315.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,2.0,2.0,0.0,1.0,45.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,277.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,0.0,2.0,1.0,1.0,1.0,0.0,55.0,1.0,19.0,0.0,1.0,0.0,0.0,0.0,285.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,515.0,0.0,0.0,0.0,1.0,DST
Carolina Panthers,CAR,1.0,3.0,1.0,1.0,2.0,0.0,1.0,66.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,371.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,5.0,0.0,0.0,3.0,0.0,0.0,95.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,299.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,354.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,4.0,1.0,0.0,0.0,0.0,0.0,113.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,240.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,417.0,0.0,0.0,1.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,1.0,1.0,0.0,0.0,48.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,424.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,223.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,8.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,209.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,325.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,87.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,327.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,2.0,0.0,1.0,1.0,0.0,139.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,290.0,1.0,0.0,0.0,0.0,DST
