Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,16.0,33.0,10.0,10.0,15.0,1.0,0.0,2.0,965.0,0.0,470.0,1.0,0.0,0.0,0.0,6.0,4.0,5.0,6502.0,2.0,1.0,3.0,5.0,1.0,4.0,0.0,DST
Chicago Bears,CHI,16.0,37.0,8.0,3.0,11.0,1.0,2.0,1.0,1112.0,1.0,385.0,0.0,1.0,1.0,3.0,4.0,6.0,1.0,5548.0,1.0,3.0,8.0,2.0,2.0,0.0,0.0,DST
Cincinnati Bengals,CIN,16.0,33.0,17.0,3.0,6.0,1.0,0.0,3.0,1249.0,0.0,313.0,0.0,0.0,4.0,4.0,5.0,3.0,0.0,5612.0,0.0,3.0,10.0,2.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,16.0,39.0,12.0,6.0,11.0,0.0,3.0,1.0,1143.0,0.0,376.0,1.0,0.0,3.0,3.0,2.0,4.0,3.0,5712.0,0.0,3.0,9.0,0.0,4.0,0.0,0.0,DST
Denver Broncos,DEN,16.0,42.0,14.0,13.0,16.0,0.0,4.0,2.0,797.0,0.0,287.0,0.0,1.0,5.0,5.0,2.0,3.0,0.0,5057.0,0.0,7.0,8.0,0.0,1.0,0.0,1.0,DST
Cleveland Browns,CLE,16.0,26.0,10.0,3.0,6.0,0.0,1.0,1.0,834.0,0.0,434.0,0.0,0.0,0.0,2.0,5.0,8.0,1.0,6279.0,0.0,1.0,8.0,4.0,1.0,2.0,0.0,DST
Tampa Bay Buccaneers,TB,16.0,38.0,17.0,12.0,16.0,1.0,4.0,0.0,573.0,0.0,353.0,0.0,1.0,2.0,4.0,4.0,4.0,1.0,5887.0,0.0,4.0,6.0,4.0,1.0,1.0,0.0,DST
Arizona Cardinals,ARI,16.0,48.0,14.0,14.0,21.0,2.0,3.0,2.0,774.0,0.0,342.0,0.0,3.0,1.0,2.0,7.0,1.0,2.0,4883.0,1.0,7.0,7.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,16.0,35.0,18.0,10.0,14.0,1.0,5.0,0.0,720.0,0.0,397.0,0.0,0.0,2.0,3.0,6.0,2.0,3.0,5554.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,16.0,28.0,18.0,15.0,16.0,1.0,5.0,0.0,1535.0,3.0,305.0,0.0,1.0,3.0,6.0,4.0,1.0,1.0,5896.0,0.0,4.0,6.0,4.0,2.0,0.0,1.0,DST
