Player,Bye,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,FPts
Arizona Cardinals,9,38,11,18,5,317,251.0,94.4,2,1,136.0
Kansas City Chiefs,5,46,8,18,4,296,242.9,101.0,1,1,130.0
Denver Broncos,11,44,9,16,4,314,224.0,81.0,2,1,128.0
Carolina Panthers,7,43,13,17,3,338,241.8,97.0,1,0,123.0
Philadelphia Eagles,4,38,12,13,3,416,258.8,125.0,1,2,120.0
Seattle Seahawks,5,39,11,14,4,268,211.8,82.0,0,1,119.0
Los Angeles Rams,8,42,13,13,3,325,260.0,112.0,0,1,118.0
Oakland Raiders,10,39,13,16,2,357,247.5,98.0,1,1,117.0
Pittsburgh Steelers,8,40,11,14,3,331,275.8,96.0,0,1,114.0
New England Patriots,9,45,11,14,2,314,255.0,102.0,0,1,113.0
Minnesota Vikings,6,42,8,13,3,329,250.0,115.6,2,1,112.0
Jacksonville Jaguars,5,44,14,11,3,387,251.0,110.0,0,0,112.0
Cincinnati Bengals,9,40,8,20,2,295,259.0,97.2,1,0,110.0
Green Bay Packers,4,42,8,15,2,335,247.0,119.0,1,1,108.0
Buffalo Bills,10,37,10,16,2,342,259.0,107.0,0,1,107.0
Houston Texans,9,40,9,15,3,330,236.0,103.0,0,0,106.0
New York Jets,11,42,13,15,1,355,244.8,89.3,0,0,104.0
Tampa Bay Buccaneers,6,36,11,14,3,424,255.3,108.0,0,0,104.0
Detroit Lions,10,41,9,15,2,376,262.0,110.0,0,0,101.0
Washington Redskins,9,37,10,10,2,382,263.8,119.0,0,1,95.0
Miami Dolphins,8,32,7,14,3,401,260.8,124.0,1,0,94.0
Indianapolis Colts,10,33,9,14,2,385,268.8,118.0,1,0,93.0
New York Giants,8,29,10,15,2,429,275.0,128.0,0,0,91.0
Atlanta Falcons,11,22,10,15,2,359,256.0,101.0,0,1,90.0
Baltimore Ravens,8,35,9,11,1,383,240.0,103.8,1,1,89.0
San Francisco 49ers,8,35,8,12,2,445,280.0,113.0,1,0,89.0
Tennessee Titans,13,38,7,12,2,435,249.0,119.6,0,0,88.0
New Orleans Saints,5,32,11,11,1,431,273.8,131.0,0,1,88.0
Dallas Cowboys,7,30,8,11,2,344,245.0,116.0,0,1,86.0
Chicago Bears,9,34,10,13,1,413,242.0,118.0,0,0,86.0
San Diego Chargers,11,30,9,12,2,360,235.0,129.0,0,0,84.0
Cleveland Browns,13,27,8,13,2,441,268.8,125.6,0,0,81.0
