Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Broncos, DEN",16,1,45,625,15,21,2,288,2928,1333,4261,217,DST
"Seahawks, SEA",15,0,41,631,14,19,2,275,2857,1422,4279,207,DST
"Panthers, CAR",19,0,47,672,19,26,2,311,3349,1784,5133,199,DST
"Steelers, PIT",16,0,41,686,17,24,3,325,3813,1670,5483,189,DST
"Cardinals, ARI",20,0,42,660,15,21,2,295,3364,1891,5255,188,DST
"Chiefs, KC",21,0,40,655,11,15,3,288,3496,1828,5324,186,DST
"Texans, HOU",17,0,47,629,14,19,2,298,3320,1631,4951,185,DST
"Packers, GB",20,0,49,650,10,13,2,313,3596,2095,5691,185,DST
"Rams, LAR",12,0,42,671,15,21,3,331,3714,1757,5471,178,DST
"Jets, NYJ",16,0,44,660,13,18,2,315,3585,1649,5234,178,DST
"Vikings, MIN",15,0,48,683,12,17,2,310,3540,1869,5409,178,DST
"Bills, BUF",19,0,33,656,12,16,2,326,3620,1930,5550,171,DST
"Patriots, NE",16,0,46,674,11,16,1,306,3477,1884,5361,170,DST
"Bengals, CIN",19,0,38,688,11,15,1,272,3450,1838,5288,168,DST
"Redskins, WAS",15,0,40,689,19,26,3,383,4051,2065,6116,158,DST
"Jaguars, JAC",14,0,47,676,14,19,3,375,3602,1644,5246,153,DST
"Bears, CHI",15,0,45,678,14,19,3,389,3839,1958,5797,153,DST
"Colts, IND",17,0,42,626,13,17,3,361,3423,1805,5228,152,DST
"Eagles, PHI",16,0,39,635,14,19,3,349,3672,1714,5386,149,DST
"Buccaneers, TB",13,0,43,725,15,21,3,410,4064,1635,5699,149,DST
"Raiders, OAK",16,0,40,685,13,18,3,368,3514,1769,5283,148,DST
"Lions, DET",14,0,50,695,13,19,2,347,3633,1746,5379,148,DST
"Chargers, LAC",16,0,38,673,14,19,3,374,3891,2091,5982,148,DST
"Saints, NO",14,0,39,700,15,20,3,422,4445,2244,6689,147,DST
"Ravens, BAL",14,0,47,668,12,17,2,354,3482,1618,5100,143,DST
"Giants, NYG",17,0,32,701,15,21,2,379,4122,2000,6122,140,DST
"Titans, TEN",13,1,45,648,8,11,3,438,4103,1850,5953,139,DST
"49ers, SF",15,0,40,735,9,13,3,391,4276,1973,6249,138,DST
"Falcons, ATL",16,0,27,713,14,19,3,371,4038,1959,5997,137,DST
"Cowboys, DAL",15,0,37,680,12,16,2,359,3804,1759,5563,135,DST
"Dolphins, MIA",15,0,41,692,10,13,2,356,4027,1805,5832,135,DST
