Player,Bye,Proj,Actual,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Made,Miss,POS
No new player Notes Stephen Gostkowski NE - K Final (W) 43-40 vs KC,11,70,70,0.1,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.3,0.1,0.1,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.3,0.1,3.4,0.1,K
No new player Notes Matt Bryant Atl - K Final (W) 34-29 vs TB,8,74,74,0.0,0.0,0.6,0.0,0.6,0.0,0.8,0.1,0.4,0.1,0.0,0.0,0.6,0.0,0.6,0.0,0.8,0.1,0.4,0.1,2.6,0.1,K
No new player Notes Harrison Butker KC - K Final (L) 43-40 @ NE,12,78,78,0.0,0.0,0.6,0.0,0.6,0.1,0.7,0.1,0.3,0.1,0.0,0.0,0.6,0.0,0.6,0.1,0.7,0.1,0.3,0.1,2.9,0.1,K
No new player Notes Justin Tucker Bal - K Final (W) 21-0 @ Ten,10,90,90,0.0,0.0,0.6,0.0,0.5,0.0,0.7,0.1,0.4,0.1,0.0,0.0,0.6,0.0,0.5,0.0,0.7,0.1,0.4,0.1,2.3,0.0,K
No new player Notes Chris Boswell Pit - K IR Final (W) 28-21 @ Cin,7,112,112,0.0,0.0,0.5,0.0,0.5,0.1,0.7,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.5,0.1,0.7,0.1,0.2,0.1,2.7,0.1,K
Player Note Adam Vinatieri Ind - K Final (L) 42-34 @ NYJ,9,114,114,0.0,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.2,0.1,2.2,0.1,K
No new player Notes Jake Elliott Phi - K Final (W) 34-13 @ NYG,9,123,123,0.0,0.0,0.4,0.0,0.7,0.0,0.5,0.1,0.2,0.1,0.0,0.0,0.4,0.0,0.7,0.0,0.5,0.1,0.2,0.1,2.7,0.1,K
No new player Notes Sebastian Janikowski Sea - K Questionable Final (W) 27-3 @ Oak,7,126,126,0.0,0.0,0.4,0.0,0.4,0.0,0.6,0.1,0.3,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.6,0.1,0.3,0.2,2.6,0.2,K
No new player Notes Chandler Catanzaro Car - K Final (L) 23-17 @ Was,4,128,128,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.2,0.1,0.1,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.2,0.1,0.1,2.6,0.1,K
No new player Notes Ka'imi Fairbairn Hou - K Final (W) 20-13 vs Buf,10,129,129,0.0,0.0,0.5,0.0,0.5,0.1,0.5,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.5,0.1,0.5,0.1,0.2,0.1,2.7,0.1,K
