Player,FG,FGA,XPT,FPTS,POS
Matt Bryant ATL,2.1,2.3,3.3,9.5,K
Stephen Gostkowski NE,1.9,2.1,3.4,9.0,K
Cairo Santos TB,2.0,2.3,2.8,8.7,K
Harrison Butker KC,1.9,2.1,2.8,8.5,K
Jake Elliott PHI,2.0,2.3,2.2,8.2,K
Chandler Catanzaro CAR,1.8,2.1,2.7,8.1,K
Randy Bullock CIN,1.8,2.1,2.7,8.0,K
Mason Crosby GB,1.7,2.1,3.0,8.0,K
Ka'imi Fairbairn HOU,1.7,2.1,2.6,7.9,K
Josh Lambo JAC,1.9,2.1,2.2,7.8,K
Sebastian Janikowski SEA,1.7,2.2,2.5,7.7,K
Justin Tucker BAL,1.8,2.0,2.2,7.7,K
Dustin Hopkins WAS,1.8,2.1,2.2,7.6,K
Adam Vinatieri IND,1.8,2.1,2.2,7.6,K
Dan Bailey MIN,1.6,2.0,2.7,7.5,K
Ryan Succop TEN,1.9,2.2,1.8,7.5,K
Jason Myers NYJ,1.7,2.0,2.5,7.4,K
Cody Parkey CHI,1.7,1.9,2.2,7.3,K
Aldrick Rosas NYG,1.8,2.0,1.9,7.2,K
Robbie Gould SF,1.8,2.0,1.9,7.2,K
Matt McCrane PIT,1.7,2.3,2.0,7.2,K
Brett Maher DAL,1.8,2.0,1.8,7.2,K
Greg Joseph CLE,1.5,1.8,2.2,6.8,K
Brandon McManus DEN,1.5,1.8,1.9,6.5,K
Jason Sanders MIA,1.5,1.6,1.6,6.0,K
Steven Hauschka BUF,1.4,1.6,1.5,5.7,K
Michael Badgley LAC,1.3,1.6,1.7,5.6,K
Giorgio Tavecchio ATL,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
