Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,2.69,0.06,0.48,0.69,0.45,0.19,K
Chris Boswell,PIT,1.0,1.93,0.05,0.48,0.58,0.47,0.15,K
Matt Bryant,ATL,1.0,2.76,0.0,0.47,0.58,0.4,0.26,K
Randy Bullock,CIN,1.0,2.48,0.03,0.48,0.51,0.44,0.25,K
Harrison Butker,KC,1.0,2.9,0.0,0.48,0.53,0.47,0.21,K
Chandler Catanzaro,CAR,1.0,2.11,0.0,0.48,0.58,0.51,0.17,K
Mason Crosby,GB,1.0,2.57,0.06,0.48,0.45,0.46,0.17,K
Phil Dawson,ARI,1.0,2.18,0.03,0.48,0.5,0.42,0.2,K
Jake Elliott,PHI,1.0,2.32,0.03,0.48,0.54,0.47,0.17,K
Ka'imi Fairbairn,HOU,1.0,2.97,0.0,0.48,0.46,0.38,0.23,K
Graham Gano,CAR,1.0,2.08,0.0,0.48,0.63,0.42,0.21,K
Stephen Gostkowski,NE,1.0,3.55,0.03,0.48,0.51,0.44,0.23,K
Robbie Gould,SF,1.0,1.11,0.01,0.48,0.5,0.49,0.2,K
Stephen Hauschka,BUF,1.0,1.5,0.0,0.48,0.47,0.52,0.26,K
Dustin Hopkins,WAS,1.0,2.65,0.0,0.48,0.54,0.41,0.22,K
Sebastian Janikowski,SEA,1.0,2.56,0.09,0.48,0.49,0.39,0.17,K
Greg Joseph,CLE,1.0,1.8,0.0,0.48,0.45,0.33,0.2,K
Josh Lambo,JAX,1.0,1.8,0.0,0.48,0.49,0.47,0.29,K
Brett Maher,DAL,1.0,2.5,0.0,0.48,0.54,0.46,0.23,K
Matt McCrane,PIT,1.0,2.23,0.03,0.48,0.51,0.56,0.14,K
Brandon McManus,DEN,1.0,1.61,0.02,0.48,0.49,0.47,0.26,K
Jason Myers,NYJ,1.0,2.06,0.02,0.48,0.53,0.58,0.18,K
Cody Parkey,CHI,1.0,3.15,0.0,0.48,0.56,0.46,0.2,K
Aldrick Rosas,NYG,1.0,1.77,0.06,0.49,0.58,0.44,0.15,K
Jason Sanders,MIA,1.0,2.59,0.07,0.48,0.55,0.45,0.17,K
Cairo Santos,TB,1.0,2.49,0.06,0.48,0.53,0.55,0.29,K
Ryan Succop,TEN,1.0,1.63,0.03,0.48,0.46,0.45,0.23,K
Justin Tucker,BAL,1.0,1.78,0.07,0.48,0.59,0.4,0.26,K
Adam Vinatieri,IND,1.0,2.12,0.0,0.48,0.49,0.52,0.24,K
