Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Jake Elliott,PHI,@NYG,3,0,2,0,11.0,K
Matt Bryant,ATL,TB,2,0,4,0,10.0,K
Randy Bullock,CIN,PIT,2,0,3,0,9.0,K
Harrison Butker,KC,@NE,2,0,3,0,9.0,K
Chandler Catanzaro,TB,@ATL,2,0,3,0,9.0,K
Graham Gano,CAR,@WAS,2,0,3,0,9.0,K
Cairo Santos,LAR,@DEN,2,0,3,0,9.0,K
Caleb Sturgis,LAC,@CLE,2,0,3,0,9.0,K
Robbie Gould,SF,@GB,2,0,2,0,8.0,K
Dustin Hopkins,WAS,CAR,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,@OAK,2,0,2,0,8.0,K
Josh Lambo,JAC,@DAL,2,0,2,0,8.0,K
Brett Maher,DAL,JAC,2,0,2,0,8.0,K
Matthew McCrane,OAK,SEA,2,1,2,0,8.0,K
Aldrick Rosas,NYG,PHI,2,0,2,0,8.0,K
Jason Sanders,MIA,CHI,2,0,2,0,8.0,K
Ryan Succop,TEN,BAL,2,0,2,0,8.0,K
Adam Vinatieri,IND,@NYJ,2,0,2,0,8.0,K
Mason Crosby,GB,SF,1,0,4,0,7.0,K
Stephen Gostkowski,NE,KC,1,0,4,0,7.0,K
Dan Bailey,MIN,ARI,1,0,3,0,6.0,K
Chris Boswell,PIT,@CIN,1,0,3,0,6.0,K
Ka'imi Fairbairn,HOU,BUF,1,0,3,0,6.0,K
Greg Joseph,CLE,LAC,1,0,3,0,6.0,K
Jason Myers,NYJ,IND,1,0,3,0,6.0,K
Brandon McManus,DEN,LAR,1,0,2,0,5.0,K
Cody Parkey,CHI,@MIA,1,0,2,0,5.0,K
Justin Tucker,BAL,@TEN,1,0,2,0,5.0,K
Steve Hauschka,BUF,@HOU,1,0,1,0,4.0,K
Phil Dawson,ARI,@MIN,0,0,2,0,2.0,K
