Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Mike Evans, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,11.5,6.5,89.8,13.82,0.7,0.0,12,WR
"Julio Jones, ATL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.1,6.6,97.9,14.83,0.5,0.1,11,WR
"Antonio Brown, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,9.00,0.0,10.8,7.7,89.7,11.65,0.5,0.1,10,WR
"Jordy Nelson, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.6,5.3,67.9,12.81,0.8,0.1,10,WR
"Odell Beckham, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,9.7,5.6,75.7,13.52,0.6,0.1,10,WR
"Demaryius Thomas, HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,5.9,75.9,12.86,0.6,0.2,10,WR
"Emmanuel Sanders, DEN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,11.00,0.0,9.4,5.8,76.7,13.22,0.5,0.0,10,WR
"Kelvin Benjamin, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.7,4.9,62.8,12.82,0.6,0.0,9,WR
"Dez Bryant, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.9,4.0,61.6,15.40,0.6,0.0,9,WR
"Davante Adams, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9,5.9,66.4,11.25,0.6,0.1,9,WR
"T.Y. Hilton, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.00,0.0,9,4.8,70.3,14.65,0.4,0.0,9,WR
"Jarvis Landry, CLE",0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.6,5.20,0.0,9,6.2,75.6,12.19,0.4,0.1,9,WR
"Stefon Diggs, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.67,0.0,7.5,5.6,66.0,11.79,0.5,0.0,9,WR
"Doug Baldwin, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,-2.00,0.0,7.3,4.9,65.4,13.35,0.5,0.0,9,WR
"Brandin Cooks, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.4,6.80,0.0,6.9,4.7,61.6,13.11,0.5,0.0,9,WR
"DeVante Parker, MIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.6,5.0,71.4,14.28,0.3,0.0,8,WR
"Terrelle Pryor, BUF",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.20,0.0,9.2,5.3,66.3,12.51,0.4,0.0,8,WR
"Brandon Marshall, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.4,4.8,65.3,13.60,0.4,0.0,8,WR
"Jeremy Maclin, BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.00,0.0,7.5,4.5,51.2,11.38,0.5,0.0,8,WR
"Jordan Matthews, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.8,5.0,55.7,11.14,0.5,0.0,8,WR
"Corey Coleman, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,6.00,0.0,7,4.6,60.0,13.04,0.3,0.0,7,WR
"Amari Cooper, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.0,-0.00,0.0,10.6,6.1,68.7,11.26,0.3,0.0,7,WR
"Michael Thomas, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,6.6,5.1,60.9,11.94,0.3,0.0,7,WR
"Quincy Enunwa, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.3,4.5,64.3,14.29,0.3,0.0,7,WR
