Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Harrison Butker,KC,OAK,3,0,3,0,12.0,K
Ka'imi Fairbairn,HOU,JAC,3,0,2,0,11.0,K
Mike Badgley,LAC,@DEN,2,0,3,0,9.0,K
Matt Bryant,ATL,@TB,2,0,3,0,9.0,K
Mason Crosby,GB,DET,2,0,3,0,9.0,K
Stephen Gostkowski,NE,NYJ,2,0,3,0,9.0,K
Adam Vinatieri,IND,@TEN,2,0,3,0,9.0,K
Greg Zuerlein,LAR,SF,2,0,3,0,9.0,K
Jake Elliott,PHI,@WAS,2,0,2,0,8.0,K
Robbie Gould,SF,@LAR,2,0,2,0,8.0,K
Steve Hauschka,BUF,MIA,2,0,2,0,8.0,K
Dustin Hopkins,WAS,PHI,2,0,2,0,8.0,K
Greg Joseph,CLE,@BAL,2,0,2,0,8.0,K
Jason Myers,NYJ,@NE,2,0,2,0,8.0,K
Cody Parkey,CHI,@MIN,2,0,2,0,8.0,K
Jason Sanders,MIA,@BUF,2,0,2,0,8.0,K
Ryan Succop,TEN,IND,2,0,2,0,8.0,K
Randy Bullock,CIN,@PIT,2,0,1,0,7.0,K
Matthew McCrane,PIT,CIN,1,0,4,0,7.0,K
Dan Bailey,MIN,CHI,1,0,3,0,6.0,K
Daniel Carlson,OAK,@KC,1,0,3,0,6.0,K
Sebastian Janikowski,SEA,ARI,1,0,3,0,6.0,K
Wil Lutz,NO,CAR,1,0,3,0,6.0,K
Aldrick Rosas,NYG,DAL,1,0,3,0,6.0,K
Cairo Santos,TB,ATL,1,0,3,0,6.0,K
Justin Tucker,BAL,CLE,1,0,3,0,6.0,K
Chandler Catanzaro,CAR,@NO,1,0,2,0,5.0,K
Kai Forbath,JAC,@HOU,1,0,2,0,5.0,K
Zane Gonzalez,ARI,@SEA,1,0,2,0,5.0,K
Brett Maher,DAL,@NYG,1,0,2,0,5.0,K
Brandon McManus,DEN,LAC,1,0,2,0,5.0,K
Matt Prater,DET,@GB,1,0,2,0,5.0,K
