Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Ka'imi Fairbairn, Hou K",Jax,W 20-3,1.4/1.5,0.7/0.8,0.3/0.4,2.4/2.8,2.1/2.2,10.2,K
"Greg Zuerlein, LAR K",SF,W 48-32,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.5,2.9/3,10.1,K
"Justin Tucker, Bal K",Cle,W 26-24,1.3/1.3,0.6/0.7,0.3/0.4,2.2/2.4,2.1/2.1,9.5,K
"Stephen Gostkowski, NE K",NYJ,W 38-3,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,3/3.2,8.9,K
"Harrison Butker, KC K",Oak,W 35-3,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,4.2/4.4,8.8,K
"Stephen Hauschka, Buf K",Mia,W 42-17,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.1/2.2,8.6,K
"Aldrick Rosas, NYG K",Dal,L 35-36,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.1/2.2,8.5,K
"Ryan Succop, Ten K",Ind,L 17-33,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.1,2.1/2.2,8.3,K
"Jason Myers, NYJ K",@NE,L 3-38,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.9/1.9,8.2,K
"Mason Crosby, GB K",Det,L 0-31,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.4/2.6,8.1,K
"Sebastian Janikowski, Sea K Q",Ari,W 27-24,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,3/3.2,8.1,K
"Matt Bryant, Atl K",@TB,W 34-32,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,2.7/2.7,7.9,K
"Robbie Gould, SF K",@LAR,L 32-48,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,1.6/1.6,7.8,K
"Daniel Carlson, Oak K",@KC,L 3-35,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2/2.2,7.7,K
"Dan Bailey, Min K",Chi,L 10-24,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.9/2.1,7.7,K
"Jake Elliott, Phi K",@Wsh,W 24-0,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2/2.2,7.7,K
"Cairo Santos, TB K",Atl,L 32-34,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,2.5/2.7,7.5,K
"Mike Badgley, LAC K",@Den,W 23-9,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,2.1/2.3,7.3,K
"Wil Lutz, NO K",Car,L 14-33,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.5/2.6,7.3,K
"Adam Vinatieri, Ind K",@Ten,W 33-17,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,2.2/2.3,7.2,K
"Matt McCrane, Pit K",Cin,W 16-13,0.6/0.7,0.3/0.4,0.1/0.2,1.1/1.3,3.4/3.6,6.9,K
