Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,2.34,0.07,0.47,0.65,0.57,0.37,K
Dan Bailey,MIN,1.0,1.49,0.01,0.48,0.62,0.4,0.17,K
Matt Bryant,ATL,1.0,2.42,0.02,0.48,0.49,0.44,0.27,K
Randy Bullock,CIN,1.0,1.44,0.02,0.48,0.5,0.49,0.23,K
Harrison Butker,KC,1.0,2.89,0.01,0.48,0.53,0.42,0.18,K
Daniel Carlson,OAK,1.0,1.8,0.01,0.48,0.53,0.49,0.22,K
Chandler Catanzaro,CAR,1.0,1.85,0.0,0.48,0.74,0.56,0.15,K
Mason Crosby,GB,1.0,1.71,0.03,0.47,0.57,0.52,0.21,K
Jake Elliott,PHI,1.0,2.49,0.0,0.48,0.46,0.38,0.24,K
Ka'imi Fairbairn,HOU,1.0,2.23,0.05,0.48,0.53,0.42,0.23,K
Kai Forbath,JAX,1.0,1.69,0.03,0.48,0.48,0.41,0.25,K
Zane Gonzalez,ARI,1.0,1.44,0.0,0.48,0.74,0.56,0.16,K
Stephen Gostkowski,NE,1.0,3.27,0.04,0.48,0.59,0.4,0.18,K
Robbie Gould,SF,1.0,2.05,0.01,0.48,0.5,0.41,0.23,K
Stephen Hauschka,BUF,1.0,1.97,0.0,0.48,0.53,0.49,0.19,K
Dustin Hopkins,WAS,1.0,2.11,0.03,0.48,0.5,0.41,0.27,K
Sebastian Janikowski,SEA,1.0,2.38,0.02,0.47,0.48,0.52,0.17,K
Greg Joseph,CLE,1.0,1.87,0.0,0.48,0.51,0.38,0.22,K
Wil Lutz,NO,1.0,2.28,0.05,0.48,0.47,0.5,0.25,K
Brett Maher,DAL,1.0,2.02,0.03,0.48,0.68,0.42,0.2,K
Matt McCrane,PIT,1.0,2.53,0.03,0.48,0.57,0.67,0.17,K
Brandon McManus,DEN,1.0,1.96,0.07,0.48,0.56,0.5,0.33,K
Jason Myers,NYJ,1.0,1.77,0.02,0.47,0.52,0.41,0.25,K
Cody Parkey,CHI,1.0,1.93,0.01,0.48,0.49,0.43,0.15,K
Matt Prater,DET,1.0,1.15,0.01,0.47,0.56,0.59,0.24,K
Aldrick Rosas,NYG,1.0,2.08,0.01,0.48,0.68,0.46,0.24,K
Jason Sanders,MIA,1.0,1.11,0.03,0.48,0.53,0.56,0.18,K
Cairo Santos,TB,1.0,2.39,0.04,0.48,0.53,0.34,0.16,K
Ryan Succop,TEN,1.0,1.46,0.0,0.48,0.52,0.33,0.15,K
Justin Tucker,BAL,1.0,2.83,0.03,0.48,0.57,0.48,0.34,K
Adam Vinatieri,IND,1.0,1.81,0.03,0.48,0.52,0.46,0.23,K
Greg Zuerlein,LA,1.0,2.42,0.02,0.48,0.5,0.4,0.25,K
