Player,Bye,Proj,Actual,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Made,Miss,POS
No new player Notes Greg Zuerlein LAR - K Final (W) 48-32 vs SF,12,60,60,0.0,0.0,0.6,0.0,0.8,0.0,0.7,0.1,0.5,0.1,0.0,0.0,0.6,0.0,0.8,0.0,0.7,0.1,0.5,0.1,3.5,0.2,K
No new player Notes Stephen Gostkowski NE - K Final (W) 38-3 vs NYJ,11,71,71,0.1,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.3,0.1,0.1,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.3,0.1,3.6,0.1,K
No new player Notes Harrison Butker KC - K Final (W) 35-3 vs Oak,12,72,72,0.0,0.0,0.7,0.0,0.7,0.1,0.7,0.1,0.3,0.1,0.0,0.0,0.7,0.0,0.7,0.1,0.7,0.1,0.3,0.1,3.2,0.1,K
No new player Notes Justin Tucker Bal - K Final (W) 26-24 vs Cle,10,75,75,0.0,0.0,0.6,0.0,0.6,0.0,0.8,0.1,0.4,0.1,0.0,0.0,0.6,0.0,0.6,0.0,0.8,0.1,0.4,0.1,2.7,0.0,K
No new player Notes Matt Bryant Atl - K Final (W) 34-32 @ TB,8,89,89,0.0,0.0,0.5,0.0,0.5,0.0,0.7,0.1,0.3,0.1,0.0,0.0,0.5,0.0,0.5,0.0,0.7,0.1,0.3,0.1,2.5,0.1,K
No new player Notes Ka'imi Fairbairn Hou - K Final (W) 20-3 vs Jax,10,95,95,0.0,0.0,0.5,0.0,0.6,0.1,0.6,0.1,0.2,0.2,0.0,0.0,0.5,0.0,0.6,0.1,0.6,0.1,0.2,0.2,3.0,0.2,K
No new player Notes Wil Lutz NO - K Final (L) 33-14 vs Car,6,98,98,0.0,0.0,0.5,0.0,0.5,0.1,0.7,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.5,0.1,0.7,0.1,0.2,0.1,3.0,0.1,K
No new player Notes Jake Elliott Phi - K Final (W) 24-0 @ Was,9,101,101,0.0,0.0,0.4,0.0,0.8,0.0,0.5,0.1,0.3,0.1,0.0,0.0,0.4,0.0,0.8,0.0,0.5,0.1,0.3,0.1,2.9,0.1,K
Player Note Adam Vinatieri Ind - K Final (W) 33-17 @ Ten,9,107,107,0.0,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.2,0.1,2.2,0.1,K
No new player Notes Sebastian Janikowski Sea - K Questionable Final (W) 27-24 vs Ari,7,113,113,0.0,0.0,0.4,0.0,0.4,0.0,0.6,0.1,0.3,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.6,0.1,0.3,0.2,2.6,0.2,K
No new player Notes Aldrick Rosas NYG - K Final (L) 36-35 vs Dal,9,117,117,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.2,0.2,0.1,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.2,0.2,0.1,2.1,0.2,K
No new player Notes Mason Crosby GB - K Final (L) 31-0 vs Det,7,118,118,0.0,0.0,0.5,0.0,0.6,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.5,0.0,0.6,0.1,0.5,0.1,0.1,0.1,3.0,0.1,K
No new player Notes Matt Prater Det - K Final (W) 31-0 @ GB,6,123,123,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.1,0.3,0.1,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.1,0.3,0.1,2.3,0.1,K
No new player Notes Dustin Hopkins Was - K Final (L) 24-0 vs Phi,4,124,124,0.0,0.0,0.5,0.0,0.6,0.0,0.7,0.2,0.1,0.1,0.0,0.0,0.5,0.0,0.6,0.0,0.7,0.2,0.1,0.1,2.5,0.1,K
No new player Notes Robbie Gould SF - K Final (L) 48-32 @ LAR,11,132,132,0.0,0.0,0.5,0.0,0.6,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.5,0.0,0.6,0.1,0.5,0.1,0.1,0.1,2.4,0.1,K
No new player Notes Ryan Succop Ten - K Final (L) 33-17 vs Ind,8,138,138,0.1,0.0,0.5,0.0,0.6,0.0,0.5,0.2,0.1,0.1,0.1,0.0,0.5,0.0,0.6,0.0,0.5,0.2,0.1,0.1,2.1,0.1,K
No new player Notes Stephen Hauschka Buf - K Final (W) 42-17 vs Mia,11,139,139,0.0,0.0,0.4,0.0,0.5,0.0,0.7,0.1,0.2,0.1,0.0,0.0,0.4,0.0,0.5,0.0,0.7,0.1,0.2,0.1,1.7,0.1,K
No new player Notes Michael Badgley LAC - K Final (W) 23-9 @ Den,8,150,150,0.0,0.0,0.4,0.0,0.5,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.4,0.0,0.5,0.1,0.5,0.1,0.1,0.1,2.5,0.1,K
No new player Notes Jason Myers NYJ - K Final (L) 38-3 @ NE,11,160,160,0.2,0.0,0.4,0.0,0.4,0.1,0.5,0.2,0.2,0.1,0.2,0.0,0.4,0.0,0.4,0.1,0.5,0.2,0.2,0.1,1.7,0.0,K
No new player Notes Brett Maher Dal - K Final (W) 36-35 @ NYG,8,169,169,0.2,0.0,0.2,0.0,0.6,0.0,0.4,0.1,0.2,0.1,0.2,0.0,0.2,0.0,0.6,0.0,0.4,0.1,0.2,0.1,2.1,0.1,K
No new player Notes Daniel Carlson Oak - K Final (L) 35-3 @ KC,7,172,172,0.0,0.0,0.5,0.0,0.6,0.1,0.4,0.1,0.1,0.3,0.0,0.0,0.5,0.0,0.6,0.1,0.4,0.1,0.1,0.3,2.5,0.1,K
No new player Notes Cairo Santos TB - K Final (L) 34-32 vs Atl,5,174,174,0.0,0.0,0.4,0.0,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.4,0.0,0.0,0.0,2.4,0.4,K
No new player Notes Chandler Catanzaro Car - K Final (W) 33-14 @ NO,4,175,175,0.0,0.0,0.4,0.0,0.4,0.0,0.5,0.2,0.1,0.1,0.0,0.0,0.4,0.0,0.4,0.0,0.5,0.2,0.1,0.1,2.2,0.1,K
No new player Notes Brandon McManus Den - K Final (L) 23-9 vs LAC,10,182,182,0.0,0.0,0.4,0.0,0.4,0.0,0.5,0.1,0.2,0.1,0.0,0.0,0.4,0.0,0.4,0.0,0.5,0.1,0.2,0.1,1.7,0.1,K
No new player Notes Dan Bailey Min - K Final (L) 24-10 vs Chi,10,217,217,0.3,0.0,0.3,0.0,0.7,0.0,0.2,0.1,0.1,0.1,0.3,0.0,0.3,0.0,0.7,0.0,0.2,0.1,0.1,0.1,2.0,0.0,K
No new player Notes Jason Sanders Mia - K Final (L) 42-17 @ Buf,11,224,224,0.0,0.0,0.4,0.0,0.5,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.4,0.0,0.5,0.1,0.5,0.1,0.1,0.1,1.8,0.1,K
No new player Notes Randy Bullock Cin - K Final (L) 16-13 @ Pit,9,239,239,0.1,0.0,0.3,0.0,0.4,0.1,0.5,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.4,0.1,0.5,0.2,0.1,0.1,2.1,0.1,K
No new player Notes Kai Forbath Jax - K Final (L) 20-3 @ Hou,9,245,245,0.0,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.2,0.0,1.8,0.2,K
Player Note Cody Parkey Chi - K Final (W) 24-10 @ Min,5,247,247,0.1,0.0,0.3,0.0,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.0,0.3,0.0,0.5,0.1,0.5,0.1,0.1,0.1,2.0,0.1,K
No new player Notes Matt McCrane Pit - K Final (W) 16-13 vs Cin,7,266,266,0.4,0.0,0.3,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.3,0.0,0.4,0.0,0.2,0.0,0.0,0.0,2.1,0.0,K
No new player Notes Greg Joseph Cle - K Final (L) 26-24 @ Bal,11,340,340,0.2,0.0,0.4,0.0,0.5,0.1,0.1,0.2,0.0,0.1,0.2,0.0,0.4,0.0,0.5,0.1,0.1,0.2,0.0,0.1,1.8,0.0,K
No new player Notes Zane Gonzalez Ari - K Final (L) 27-24 @ Sea,9,351,351,0.0,0.0,0.2,0.0,0.3,0.1,0.4,0.1,0.1,0.1,0.0,0.0,0.2,0.0,0.3,0.1,0.4,0.1,0.1,0.1,1.3,0.1,K
No new player Notes Mike Nugent Oak - K IR Final (L) 35-3 @ KC,7,1609,1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Nick Novak LAC - K Inactive Final (W) 23-9 @ Den,8,1610,1610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Tyler Davis Buf - K Inactive Final (W) 42-17 vs Mia,11,1608,1608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Eddy Pineiro Oak - K IR Final (L) 35-3 @ KC,7,1607,1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Nick Folk TB - K Inactive Final (L) 34-32 vs Atl,5,1593,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Trevor Moore TB - K Inactive Final (L) 34-32 vs Atl,5,1605,1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Phil Dawson Ari - K IR Final (L) 27-24 @ Sea,9,1592,1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes David Marvin Atl - K Inactive Final (W) 34-32 @ TB,8,1606,1606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Marshall Koehn NYG - K Inactive Final (L) 36-35 vs Dal,9,1598,1598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
No new player Notes Blair Walsh Sea - K Inactive Final (W) 27-24 vs Ari,7,1600,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K
