player,team,pos,proj,cost
Jared Goff,LA,QB,12.093033333333333,590.0
Saquon Barkley,NYG,RB,26.19,610.0
David Johnson,ARI,RB,17.891000000000002,310.0
James White,NE,RB,22.763666666666662,1000.0
Adam Thielen,MIN,WR,25.10366666666667,250.0
Robert Woods,LA,WR,20.404,620.0
George Kittle,SF,TE,16.56233333333333,850.0
Harrison Butker,KC,K,8.92,430.0
Arizona Cardinals,ARI,DST,2.362,160.0
,,,152.28969999999998,4820.0
