Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,3.43,0.03,0.04,1.96,0.01,0.01,0.01,QB
C.J. Beathard,SF,1.0,4.75,0.03,0.04,0.2,0.0,0.01,0.01,QB
Blake Bortles,JAX,1.0,222.33,1.3,0.92,20.21,0.14,0.2,0.06,QB
Sam Bradford,FA,1.0,248.44,1.54,0.58,6.54,0.06,0.19,0.08,QB
Tom Brady,NE,1.0,309.69,2.16,0.26,4.68,0.05,0.19,0.04,QB
Drew Brees,NO,1.0,302.74,1.83,0.55,6.24,0.07,0.19,0.01,QB
Teddy Bridgewater,NO,1.0,7.12,0.04,0.04,1.4,0.02,0.01,0.01,QB
Jacoby Brissett,IND,1.0,9.01,0.04,0.04,1.97,0.03,0.01,0.01,QB
Derek Carr,OAK,1.0,228.26,1.53,0.86,8.31,0.07,0.2,0.07,QB
Matt Cassel,DET,1.0,6.4,0.04,0.04,0.0,0.0,0.0,0.01,QB
Kirk Cousins,MIN,1.0,274.14,1.8,0.62,11.87,0.13,0.23,0.02,QB
Andy Dalton,CIN,1.0,237.0,1.28,0.92,10.17,0.08,0.2,0.07,QB
Chase Daniel,CHI,1.0,3.59,0.04,0.04,0.0,0.0,0.0,0.01,QB
Sam Darnold,NYJ,1.0,221.13,1.18,0.86,14.55,0.13,0.22,0.06,QB
Joshua Dobbs,PIT,1.0,2.94,0.03,0.04,1.3,0.01,0.01,0.01,QB
David Fales,MIA,1.0,9.0,0.04,0.04,1.21,0.01,0.01,0.01,QB
Ryan Fitzpatrick,TB,1.0,246.31,1.32,1.21,10.0,0.09,0.2,0.05,QB
Joe Flacco,BAL,1.0,228.11,1.15,0.94,9.51,0.09,0.2,0.04,QB
Nick Foles,PHI,1.0,238.09,1.32,0.86,7.95,0.1,0.2,0.12,QB
Blaine Gabbert,TEN,1.0,2.35,0.04,0.04,0.0,0.0,0.0,0.01,QB
Jimmy Garoppolo,SF,1.0,262.72,1.44,0.65,10.69,0.1,0.21,0.01,QB
Jared Goff,LAR,1.0,281.02,1.95,0.82,8.72,0.08,0.22,0.02,QB
Robert Griffin III,BAL,1.0,6.42,0.04,0.03,1.51,0.01,0.01,0.01,QB
Taylor Heinicke,CAR,1.0,8.22,0.04,0.04,0.69,0.01,0.01,0.01,QB
Chad Henne,KC,1.0,0.25,0.03,0.04,0.0,0.0,0.0,0.01,QB
Brian Hoyer,NE,1.0,7.72,0.04,0.04,0.97,0.01,0.01,0.01,QB
Brett Hundley,SEA,1.0,3.48,0.03,0.04,1.29,0.01,0.01,0.01,QB
Case Keenum,DEN,1.0,224.33,1.26,0.71,12.46,0.11,0.2,0.05,QB
Chad Kelly,FA,1.0,9.0,0.04,0.04,1.0,0.01,0.01,0.01,QB
Cody Kessler,JAX,1.0,2.42,0.03,0.03,0.23,0.0,0.01,0.01,QB
DeShone Kizer,GB,1.0,7.91,0.04,0.03,0.59,0.01,0.01,0.01,QB
Kyle Lauletta,NYG,1.0,9.07,0.04,0.04,1.01,0.01,0.01,0.01,QB
Andrew Luck,IND,1.0,266.58,1.78,0.89,23.3,0.21,0.24,0.07,QB
Patrick Mahomes,KC,1.0,238.85,1.11,0.95,18.7,0.14,0.23,0.03,QB
Eli Manning,NYG,1.0,208.52,1.34,0.95,3.9,0.03,0.19,0.1,QB
Sean Mannion,LAR,1.0,3.27,0.03,0.04,1.14,0.01,0.01,0.01,QB
Marcus Mariota,TEN,1.0,219.83,1.33,0.88,23.37,0.18,0.2,0.14,QB
Baker Mayfield,CLE,1.0,8.94,0.04,0.04,1.52,0.01,0.01,0.01,QB
AJ McCarron,OAK,1.0,8.77,0.04,0.05,0.0,0.0,0.01,0.01,QB
Josh McCown,NYJ,1.0,2.88,0.04,0.05,1.48,0.02,0.01,0.01,QB
Colt McCoy,WAS,1.0,3.47,0.03,0.05,0.0,0.0,0.0,0.01,QB
Cam Newton,CAR,1.0,231.37,1.39,0.56,39.89,0.32,0.21,0.02,QB
Brock Osweiler,MIA,1.0,8.24,0.04,0.04,1.09,0.01,0.01,0.01,QB
Nathan Peterman,OAK,1.0,171.98,0.8,1.16,13.66,0.1,0.2,0.02,QB
Dak Prescott,DAL,1.0,207.79,1.25,0.58,19.33,0.18,0.2,0.05,QB
Philip Rivers,LAC,1.0,289.24,2.02,0.87,4.93,0.04,0.2,0.11,QB
Aaron Rodgers,GB,1.0,283.06,2.15,0.54,18.21,0.13,0.23,0.12,QB
Ben Roethlisberger,PIT,1.0,296.6,1.93,0.88,7.24,0.06,0.21,0.06,QB
Josh Rosen,ARI,1.0,8.91,0.04,0.05,0.95,0.01,0.01,0.01,QB
Cooper Rush,DAL,1.0,4.05,0.03,0.04,0.0,0.0,0.01,0.01,QB
Matt Ryan,ATL,1.0,262.52,1.58,0.94,8.52,0.06,0.2,0.01,QB
Matt Schaub,ATL,1.0,0.0,0.03,0.03,0.0,0.0,0.0,0.01,QB
Trevor Siemian,MIN,1.0,9.06,0.04,0.04,1.64,0.02,0.01,0.01,QB
Alex Smith,WAS,1.0,243.06,1.61,0.58,16.99,0.11,0.22,0.04,QB
Geno Smith,LAC,1.0,6.71,0.04,0.03,0.14,0.0,0.0,0.01,QB
Matthew Stafford,DET,1.0,264.59,1.93,0.56,8.35,0.07,0.21,0.07,QB
Nate Sudfeld,PHI,1.0,7.77,0.04,0.03,2.15,0.02,0.01,0.01,QB
Ryan Tannehill,MIA,1.0,240.22,1.54,0.88,13.58,0.11,0.22,0.06,QB
Tyrod Taylor,CLE,1.0,197.65,1.14,0.58,28.34,0.27,0.19,0.06,QB
Mitchell Trubisky,CHI,1.0,187.46,0.95,0.94,16.49,0.15,0.22,0.04,QB
Deshaun Watson,HOU,1.0,264.83,2.08,0.87,29.64,0.26,0.22,0.02,QB
Brandon Weeden,HOU,1.0,2.43,0.01,0.04,0.0,0.0,0.0,0.01,QB
Russell Wilson,SEA,1.0,238.5,1.68,0.92,26.81,0.17,0.21,0.07,QB
