Player,Team,Salary
Ryan Fitzpatrick,TB,6200
Drew Brees,NO,8400
Philip Rivers,LAC,7500
Patrick Mahomes,KC,6700
Aaron Rodgers,GB,8700
Tyrod Taylor,CLE,6600
Russell Wilson,SEA,7900
Tom Brady,NE,8600
Case Keenum,DEN,6300
Joe Flacco,BAL,6100
Andrew Luck,IND,7300
Kirk Cousins,MIN,7600
Alex Smith,WAS,6900
Cam Newton,CAR,8100
Andy Dalton,CIN,6800
Jared Goff,LAR,7500
Ryan Tannehill,MIA,6200
Sam Darnold,NYJ,6100
Blake Bortles,JAX,6600
Mitchell Trubisky,CHI,6500
Deshaun Watson,HOU,8200
Matthew Stafford,DET,7800
Jimmy Garoppolo,SF,7100
Ben Roethlisberger,PIT,8000
Matt Ryan,ATL,7000
Derek Carr,OAK,6600
Dak Prescott,DAL,7000
Eli Manning,NYG,6300
Nick Foles,PHI,7400
Josh Allen,BUF,6000
Blaine Gabbert,TEN,6000
Marcus Mariota,TEN,7200
Matt Cassel,DET,6000
DeShone Kizer,GB,6000
