Player,Team,Salary
Ryan Fitzpatrick,TB,5000
Drew Brees,NO,6800
Philip Rivers,LAC,6400
Patrick Mahomes,KC,6000
Case Keenum,DEN,5100
Aaron Rodgers,GB,7500
Tyrod Taylor,CLE,5400
Andrew Luck,IND,6100
Russell Wilson,SEA,6200
Tom Brady,NE,7200
Joe Flacco,BAL,4900
Kirk Cousins,MIN,6500
Alex Smith,WAS,5600
Cam Newton,CAR,6900
Andy Dalton,CIN,5800
Jared Goff,LAR,6700
Ben Roethlisberger,PIT,6600
Ryan Tannehill,MIA,5300
Mitchell Trubisky,CHI,5600
Sam Darnold,NYJ,5400
Blake Bortles,JAX,5600
Deshaun Watson,HOU,6700
Derek Carr,OAK,6000
Matthew Stafford,DET,6500
Jimmy Garoppolo,SF,5700
Matt Ryan,ATL,6300
Dak Prescott,DAL,5500
Eli Manning,NYG,4700
Nick Foles,PHI,5900
Josh Allen,BUF,4400
Blaine Gabbert,TEN,4500
Marcus Mariota,TEN,6300
DeShone Kizer,GB,4500
Matt Cassel,DET,4600
