Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,29.0,21.0,8.0,326.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,35.0,22.0,13.0,298.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,36.0,26.0,10.0,281.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Teddy Bridgewater,NO,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,30.0,17.0,13.0,158.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,38.0,21.0,17.0,171.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,26.0,18.0,8.0,196.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jay Cutler,,1.0,49.0,28.0,21.0,274.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,QB
Andy Dalton,CIN,1.0,22.0,11.0,11.0,113.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,42.0,26.0,16.0,288.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nick Foles,PHI,1.0,38.0,24.0,14.0,237.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Blaine Gabbert,TEN,1.0,41.0,16.0,25.0,189.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,QB
Jimmy Garoppolo,SF,1.0,43.0,31.0,12.0,381.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LA,1.0,21.0,14.0,7.0,120.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Chad Henne,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Taysom Hill,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Case Keenum,DEN,1.0,23.0,20.0,3.0,236.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
DeShone Kizer,GB,1.0,37.0,20.0,17.0,146.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,57.0,37.0,20.0,434.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sean Mannion,LA,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,33.0,23.0,10.0,241.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
AJ McCarron,OAK,1.0,6.0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,31.0,20.0,11.0,242.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,17.0,12.0,5.0,194.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Bryce Petty,,1.0,39.0,19.0,20.0,179.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,27.0,18.0,9.0,212.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,36.0,20.0,16.0,227.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,45.0,26.0,19.0,290.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
