Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tom Brady, NE QB",@Pit,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mike Vick, Pit QB",NE,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Brees, NO QB",NYJ,W 31-19,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh McCown, NYJ QB",@NO,L 19-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Shaun Hill, Min QB",Cin,W 34-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Carson Palmer, Ari QB",@Wsh,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tony Romo, Dal QB",@Oak,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Eli Manning, NYG QB",Phi,L 29-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Philip Rivers, LAC QB",@KC,L 13-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ben Roethlisberger, Pit QB",NE,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Schaub, Atl QB",@TB,W 24-21,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Luke McCown, Dal QB",@Oak,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Alex Smith, Wsh QB",Ari,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Aaron Rodgers, GB QB",@Car,L 24-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan Orlovsky, LAR QB",@Sea,W 42-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Derek Anderson, Car QB",GB,W 31-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Cassel, Det QB",Chi,W 20-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Fitzpatrick, TB QB",Atl,L 21-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jay Cutler, Mia QB",@Buf,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Clemens, LAC QB",@KC,L 13-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tarvaris Jackson, Sea QB",LAR,L 7-42,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Charlie Whitehurst, Cle QB",Bal,L 10-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Bruce Gradkowski, Pit QB",NE,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Stanton, Cle QB",Bal,L 10-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Moore, Mia QB",@Buf,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Ryan, Atl QB",@TB,W 24-21,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Flacco, Bal QB",@Cle,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chad Henne, KC QB",LAC,W 30-13,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Johnson, Oak QB",Dal,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Flynn, NO QB",NYJ,W 31-19,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chase Daniel, Chi QB",@Det,L 10-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Freeman, Ind QB",Den,L 13-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Brian Hoyer, NE QB",@Pit,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mark Sanchez, Chi QB",@Det,L 10-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matthew Stafford, Det QB",Chi,W 20-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Sam Bradford, Ari QB",@Wsh,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jimmy Clausen, Bal QB",@Cle,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Colt McCoy, Wsh QB",Ari,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan LeFevour, TB QB",Atl,L 21-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Webb, Hou QB",@Jax,L 7-45,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Thaddeus Lewis, Bal QB",@Cle,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Christian Ponder, SF QB",Ten,W 25-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Blaine Gabbert, Ten QB",@SF,L 23-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Cam Newton, Car QB",GB,W 31-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Colin Kaepernick, SF QB",Ten,W 25-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Andy Dalton, Cin QB",@Min,L 7-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Mallett, Bal QB",@Cle,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"T.J. Yates, Hou QB",@Jax,L 7-45,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tyrod Taylor, Cle QB",Bal,L 10-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jerrod Johnson, Dal QB",@Oak,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Scott Tolzien, Ind QB",Den,L 13-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Andrew Luck, Ind QB",Den,L 13-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Robert Griffin III, Bal QB",@Cle,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Tannehill, Mia QB",@Buf,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Nick Foles, Phi QB",@NYG,W 34-29,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Brandon Weeden, Hou QB",@Jax,L 7-45,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Brock Osweiler, Mia QB",@Buf,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kirk Cousins, Min QB",Cin,W 34-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Russell Wilson, Sea QB",LAR,L 7-42,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Moore, Dal QB",@Oak,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Lindley, Ind QB",Den,L 13-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Case Keenum, Den QB",@Ind,W 25-13,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Austin Davis, Sea QB",LAR,L 7-42,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Simms, Atl QB",@TB,W 24-21,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Alex Tanney, Ten QB",@SF,L 23-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
