Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"David Johnson, ARI",0.0,0.0,0.0,0.0,0.0,0.0,17.3,70.2,4.06,0.7,5.8,4.0,47.2,11.80,0.2,0.1,16,RB
"Le'Veon Bell, PIT",0.0,0.0,0.0,0.0,0.0,0.0,15.4,72.2,4.69,0.6,5.6,4.4,38.5,8.75,0.1,0.1,14,RB
"Lamar Miller, HOU",0.0,0.0,0.0,0.0,0.0,0.0,17.8,71.3,4.01,0.4,3.5,2.7,20.5,7.59,0.1,0.1,11,RB
"Mark Ingram, NO",0.0,0.0,0.0,0.0,0.0,0.0,14.3,71.9,5.03,0.4,4.5,3.7,26.4,7.14,0.1,0.1,11,RB
"Melvin Gordon, LAC",0.0,0.0,0.0,0.0,0.0,0.0,15.5,66.6,4.30,0.7,3.1,2.7,19.7,7.30,0.1,0.2,11,RB
"Ezekiel Elliott, DAL",0.0,0.0,0.0,0.0,0.0,0.0,17.9,70.8,3.96,0.5,2.5,2.1,14.8,7.05,0.1,0.2,11,RB
"LeGarrette Blount, DET",0.0,0.0,0.0,0.0,0.0,0.0,20.5,79.7,3.89,0.6,1.2,1.0,6.5,6.50,0.1,0.1,11,RB
"Christine Michael, IND",0.0,0.0,0.0,0.0,0.0,0.0,16.9,78.3,4.63,0.4,2.3,1.4,10.4,7.43,0.1,0.1,10,RB
"Todd Gurley, LAR",0.0,0.0,0.0,0.0,0.0,0.0,18.0,75.8,4.21,0.4,2.3,1.6,11.4,7.12,0.0,0.1,10,RB
"C.J. Anderson, LAR",0.0,0.0,0.0,0.0,0.0,0.0,15.1,51.0,3.38,0.5,3.3,2.5,18.9,7.56,0.2,0.1,10,RB
"Spencer Ware, KC",0.0,0.0,0.0,0.0,0.0,0.0,12.8,59.4,4.64,0.5,2.4,2.0,30.4,15.20,0.0,0.5,10,RB
"Jordan Howard, CHI",0.0,0.0,0.0,0.0,0.0,0.0,17.0,69.6,4.09,0.4,3.6,2.5,19.1,7.64,0.1,0.1,9,RB
"Matt Forte, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,16.5,59.4,3.60,0.4,3.9,2.7,20.6,7.63,0.1,0.1,9,RB
"Theo Riddick, DET",0.0,0.0,0.0,0.0,0.0,0.0,8.5,31.3,3.68,0.2,7.2,6.0,48.7,8.12,0.3,0.1,9,RB
"Devonta Freeman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,13.0,54.8,4.22,0.3,4.6,3.7,26.5,7.16,0.2,0.2,9,RB
"LeSean McCoy, BUF",0.0,0.0,0.0,0.0,0.0,0.0,17.2,75.3,4.38,0.3,3.6,2.7,16.1,5.96,0.0,0.2,9,RB
"Dwayne Washington, NO",0.0,0.0,0.0,0.0,0.0,0.0,12.7,51.3,4.04,0.5,2.3,2.3,16.6,7.22,0.1,0.1,9,RB
"Jerick McKinnon, SF",0.0,0.0,0.0,0.0,0.0,0.0,13.1,50.5,3.85,0.5,2.4,1.6,10.2,6.37,0.1,0.1,9,RB
"Carlos Hyde, JAC",0.0,0.0,0.0,0.0,0.0,0.0,16.9,68.6,4.06,0.6,2.2,1.7,7.1,4.18,0.0,0.2,9,RB
"Isaiah Crowell, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,13.0,66.7,5.13,0.4,1.3,1.0,10.8,10.80,0.0,0.1,9,RB
"Frank Gore, MIA",0.0,0.0,0.0,0.0,0.0,0.0,13.8,53.1,3.85,0.4,3.7,2.3,15.7,6.83,0.2,0.2,9,RB
"Charles Sims, TB",0.0,0.0,0.0,0.0,0.0,0.0,14.7,57.8,3.93,0.2,4.7,3.3,29.8,9.03,0.2,0.1,9,RB
"Matt Jones, PHI",0.0,0.0,0.0,0.0,0.0,0.0,15.1,66.0,4.37,0.3,1.7,1.3,18.1,13.92,0.1,0.2,9,RB
"Jeremy Hill, NE",0.0,0.0,0.0,0.0,0.0,0.0,13.4,56.0,4.18,0.7,1.6,1.2,9.7,8.08,0.0,0.1,9,RB
"DeMarco Murray, TEN",0.0,0.0,0.0,0.0,0.0,0.0,11.8,59.2,5.02,0.3,3.6,3.0,22.3,7.43,0.1,0.3,8,RB
"Jamaal Charles, JAC",0.0,0.0,0.0,0.0,0.0,0.0,7.7,36.6,4.75,0.4,3.9,2.9,23.2,8.00,0.3,0.3,8,RB
"Terrance West, NO",0.0,0.0,0.0,0.0,0.0,0.0,13.7,63.0,4.60,0.3,1.8,1.4,8.8,6.29,0.1,0.1,8,RB
"Cameron Artis-Payne, CAR",0.0,0.0,0.0,0.0,0.0,0.0,12.6,57.9,4.60,0.3,1.781,1.4,12.7,9.07,0.1,0.1,8,RB
"Tevin Coleman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,9.6,37.3,3.89,0.5,2.7,1.9,28.9,15.21,0.1,0.3,8,RB
"Duke Johnson, CLE",0.0,0.0,0.0,0.0,0.0,0.0,8.9,43.3,4.87,0.1,4.9,3.8,34.5,9.08,0.1,0.1,8,RB
"Giovani Bernard, CIN",0.0,0.0,0.0,0.0,0.0,0.0,8.4,36.9,4.39,0.2,4.8,3.6,33.7,9.36,0.1,0.1,7,RB
"Orleans Darkwa, NYG",0.0,0.0,0.0,0.0,0.0,0.0,11.6,43.5,3.75,0.3,2,1.6,10.3,6.44,0.1,0.1,7,RB
"Chris Ivory, BUF",0.0,0.0,0.0,0.0,0.0,0.0,9.5,38.8,4.08,0.4,2.2,1.7,13.2,7.76,0.1,0.2,6,RB
"Chris Thompson, WAS",0.0,0.0,0.0,0.0,0.0,0.0,7.8,34.4,4.41,0.2,3.9,3.0,26.6,8.87,0.1,0.1,6,RB
"Latavius Murray, MIN",0.0,0.0,0.0,0.0,0.0,0.0,9.5,37.9,3.99,0.4,2.6,2.1,11.9,5.67,0.0,0.1,6,RB
"T.J. Yeldon, JAC",0.0,0.0,0.0,0.0,0.0,0.0,9.0,36.3,4.03,0.4,3.9,3.1,17.9,5.77,0.0,0.1,6,RB
"Matt Asiata, DET",0.0,0.0,0.0,0.0,0.0,0.0,7.9,27.4,3.47,0.4,2,1.6,11.1,6.94,0.1,0.1,5,RB
"DeAndre Washington, OAK",0.0,0.0,0.0,0.0,0.0,0.0,7.4,31.6,4.27,0.2,1.6,1.5,10.0,6.67,0.1,0.1,5,RB
"Jalen Richard, OAK",0.0,0.0,0.0,0.0,0.0,0.0,7.2,32.6,4.53,0.2,2,1.9,13.2,6.95,0.1,0.1,5,RB
"Fozzy Whittaker, CAR",0.0,0.0,0.0,0.0,0.0,0.0,8.1,34.9,4.31,0.2,1.9,1.6,11.3,7.06,0.1,0.1,5,RB
"Javorius Allen, BAL",0.0,0.0,0.0,0.0,0.0,0.0,8.4,33.6,4.00,0.2,2.8,2.0,16.6,8.30,0.1,0.3,5,RB
"Derrick Henry, TEN",0.0,0.0,0.0,0.0,0.0,0.0,8.6,36.7,4.27,0.2,1.612,1.2,11.9,9.92,0.0,0.1,5,RB
"James White, NE",0.0,0.0,0.0,0.0,0.0,0.0,5.4,18.1,3.35,0.1,4,2.4,21.9,9.12,0.2,0.1,4,RB
"Travaris Cadet, CAR",0.0,0.0,0.0,0.0,0.0,0.0,3.6,15.8,4.39,0.1,4.5,3.4,27.2,8.00,0.2,0.1,4,RB
"Kenyan Drake, MIA",0.0,0.0,0.0,0.0,0.0,0.0,7.5,32.7,4.36,0.2,1.2,1.1,7.4,6.73,0.0,0.1,4,RB
"Damien Williams, KC",0.0,0.0,0.0,0.0,0.0,0.0,5.1,20.0,3.92,0.1,2.5,1.9,14.9,7.84,0.1,0.1,4,RB
