Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,185.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,143.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,71.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,340.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,333.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,403.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,69.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,363.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,413.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,388.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,448.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,316.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,116.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,101.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,288.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,371.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,121.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,381.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,348.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,307.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,65.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Los Angeles Rams,LA,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,97.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,46.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,437.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,486.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Seattle Seahawks,SEA,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,40.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,214.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,384.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,102.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,258.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,80.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,316.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
