Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Seahawks, SEA",0.9,0.0,2.7,36.6,0.7,1.0,0.15,15.9,176.0,72.0,248,14,DST
"Vikings, MIN",1.0,0.0,3.2,36.8,0.9,1.2,0.17,16.0,192.0,105.0,297,14,DST
"Broncos, DEN",0.8,0.0,2.8,42.0,1.0,1.4,0.21,19.6,164.0,118.0,282,13,DST
"Panthers, CAR",1.7,0.0,2.7,44.6,1.1,1.4,0.22,19.9,181.0,131.0,312,13,DST
"Texans, HOU",1.2,0.0,2.8,40.8,0.9,1.2,0.03,15.6,194.0,102.0,296,13,DST
"Eagles, PHI",1.4,0.0,3.0,37.4,1.2,1.6,0.16,15.0,235.0,93.0,328,13,DST
"Packers, GB",1.2,0.0,3.7,37.6,0.6,0.9,0.23,20.5,220.0,128.0,348,12,DST
"Steelers, PIT",1.0,0.1,2.8,43.3,1.2,1.6,0.13,20.5,252.0,93.0,345,12,DST
"Rams, LAR",1.0,0.0,3.6,41.1,0.8,1.2,0.1,16.4,203.0,108.0,311,11,DST
"Chiefs, KC",1.4,0.0,2.8,41.9,0.7,0.9,0.09,16.1,235.0,92.0,327,11,DST
"Lions, DET",1.1,0.1,3.0,43.5,0.9,1.3,0.28,25.4,266.0,97.0,363,10,DST
"Browns, CLE",1.7,0.0,2.2,44.4,1.0,1.4,0.2,21.5,214.0,139.0,353,10,DST
"Cardinals, ARI",0.9,0.0,2.6,41.1,0.8,1.1,0.13,19.0,229.0,82.0,311,10,DST
"Ravens, BAL",0.5,0.0,3.3,42.5,0.8,1.1,0.14,19.9,186.0,125.0,311,10,DST
"49ers, SF",0.9,0.0,2.2,43.6,0.6,0.9,0.25,18.5,205.0,131.0,336,10,DST
"Falcons, ATL",1.0,0.0,1.6,42.0,1.0,1.3,0.15,20.5,253.0,125.0,378,10,DST
"Jets, NYJ",1.0,0.0,2.2,42.7,0.9,1.2,0.06,19.5,215.0,104.0,319,10,DST
"Bengals, CIN",1.3,0.0,2.0,43.8,0.6,0.8,0.05,17.6,197.0,129.0,326,10,DST
"Patriots, NE",1.0,0.1,2.5,41.1,0.8,1.0,0.24,25.2,272.0,104.0,376,9,DST
"Buccaneers, TB",0.9,0.0,2.4,44.2,1.1,1.5,0.22,25.0,295.0,79.0,374,9,DST
"Chargers, LAC",0.8,0.1,2.6,40.6,0.8,1.1,0.27,26.8,198.0,153.0,351,9,DST
"Dolphins, MIA",1.0,0.0,3.3,46.2,0.6,0.8,0.15,26.5,252.0,168.0,420,9,DST
"Redskins, WAS",0.8,0.0,2.6,43.2,1.1,1.5,0.13,24.7,304.0,118.0,422,9,DST
"Giants, NYG",1.1,0.0,1.9,42.2,1.0,1.4,0.13,25.9,249.0,134.0,383,8,DST
"Bears, CHI",0.8,0.0,2.6,47.2,0.8,1.1,0.18,26.2,256.0,140.0,396,8,DST
"Colts, IND",0.9,0.0,2.9,38.4,0.7,1.0,0.1,21.2,240.0,90.0,330,8,DST
"Saints, NO",0.6,0.1,2.1,40.6,1.0,1.3,0.17,26.5,271.0,107.0,378,8,DST
"Jaguars, JAC",0.5,0.0,3.0,42.8,0.8,1.1,0.15,25.2,223.0,113.0,336,8,DST
"Raiders, OAK",1.0,0.0,2.2,45.6,0.8,1.1,0.11,24.6,281.0,95.0,376,8,DST
"Cowboys, DAL",0.9,0.0,1.9,43.8,0.6,0.8,0.24,25.0,265.0,99.0,364,8,DST
"Titans, TEN",0.8,0.0,3.1,38.9,0.4,0.5,0.11,22.7,187.0,133.0,320,8,DST
