Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Frc Fum,Fum Rec,Pass Def,POS,TD
Jay Ajayi,PHI,1.0,54.5,0.36,1.84,13.94,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Javorius Allen,BAL,1.0,27.05,0.28,2.7,23.55,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,57.75,0.33,1.53,11.26,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,75.57,0.48,5.69,48.97,0.2,0.07,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenjon Barner,CAR,1.0,4.25,0.03,0.38,3.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,74.44,0.47,4.76,39.47,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.12
LeGarrette Blount,DET,1.0,43.08,0.23,0.76,5.14,0.03,0.05,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,24.07,0.14,0.66,5.78,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Tommy Bohanon,JAX,1.0,0.0,0.01,0.73,5.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,4.12,0.02,0.38,3.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,17.64,0.1,2.2,17.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Boone,MIN,1.0,9.89,0.07,0.6,3.74,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Breida,SF,1.0,59.61,0.38,2.45,18.86,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,1.0,19.9,0.12,0.67,6.28,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Michael Burton,CHI,1.0,0.27,0.01,0.2,1.62,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,2.15,0.01,0.35,2.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,12.35,0.09,0.55,4.05,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tarik Cohen,CHI,1.0,19.12,0.15,2.58,23.57,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Derrick Coleman,ARI,1.0,0.25,0.01,0.19,1.52,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,70.32,0.45,2.49,20.97,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,1.0,63.16,0.49,2.53,23.81,0.09,0.2,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,70.07,0.43,3.73,30.86,0.09,0.15,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dalvin Cook,MIN,1.0,45.26,0.29,2.85,24.55,0.09,0.16,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Isaiah Crowell,NYJ,1.0,48.9,0.29,1.31,10.42,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,0.57,0.01,0.72,6.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Davis,LAR,1.0,0.9,0.02,0.38,3.67,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,12.25,0.05,1.03,9.52,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.0,0.01,0.99,7.39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.0,0.0,0.29,2.55,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenyan Drake,MIA,1.0,60.63,0.38,2.73,19.06,0.1,0.14,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,20.7,0.13,1.34,11.84,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,28.01,0.21,2.37,23.79,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ezekiel Elliott,DAL,1.0,93.09,0.7,2.6,22.48,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
