Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Ezekiel Elliott,RB,DAL,95,1,4,30,0
Todd Gurley,RB,LAR,85,1,4,35,0
Alvin Kamara,RB,NO,45,0,8,65,1
Giovani Bernard,RB,CIN,60,0,6,45,1
Leonard Fournette,RB,JAX,85,1,2,20,0
Melvin Gordon,RB,LAC,65,1,5,40,0
Jordan Howard,RB,CHI,80,1,2,20,0
Saquon Barkley,RB,NYG,70,1,3,25,0
James Conner,RB,PIT,65,1,4,25,0
Dion Lewis,RB,TEN,50,1,5,35,0
Tevin Coleman,RB,ATL,65,1,2,15,0
David Johnson,RB,ARI,50,1,4,30,0
Kerryon Johnson,RB,DET,55,1,2,20,0
Marshawn Lynch,RB,OAK,60,1,2,15,0
Sony Michel,RB,NE,55,1,2,15,0
Isaiah Crowell,RB,NYJ,50,1,2,15,0
Aaron Jones,RB,GB,50,1,2,15,0
Alex Collins,RB,BAL,50,1,1,10,0
Royce Freeman,RB,DEN,40,1,0,0,0
Phillip Lindsay,RB,DEN,55,0,4,35,0
Kenyan Drake,RB,MIA,55,0,3,25,0
Lamar Miller,RB,HOU,65,0,2,15,0
Jay Ajayi,RB,PHI,65,0,2,10,0
Matt Breida,RB,SF,55,0,3,20,0
Dalvin Cook,RB,MIN,50,0,4,25,0
LeSean McCoy,RB,BUF,45,0,3,25,0
Nyheim Hines,RB,IND,25,0,4,35,0
Bilal Powell,RB,NYJ,35,0,3,25,0
James White,RB,NE,20,0,6,40,0
Peyton Barber,RB,TB,45,0,1,10,0
Derrick Henry,RB,TEN,45,0,1,10,0
Jordan Wilkins,RB,IND,40,0,2,15,0
Javorius Allen,RB,BAL,15,0,4,30,0
Tarik Cohen,RB,CHI,20,0,3,25,0
Austin Ekeler,RB,LAC,30,0,2,15,0
Duke Johnson,RB,CLE,20,0,3,25,0
Alfred Morris,RB,SF,40,0,0,0,0
Latavius Murray,RB,MIN,30,0,2,10,0
Wendell Smallwood,RB,PHI,25,0,2,15,0
T.J. Yeldon,RB,JAX,25,0,2,15,0
Alfred Blue,RB,HOU,25,0,1,10,0
Frank Gore,RB,MIA,30,0,1,5,0
Chris Ivory,RB,BUF,25,0,1,10,0
Jalen Richard,RB,OAK,10,0,3,25,0
Theo Riddick,RB,DET,10,0,4,25,0
LeGarrette Blount,RB,DET,30,0,0,0,0
Devontae Booker,RB,DEN,10,0,2,20,0
Kyle Juszczyk,RB,SF,5,0,3,25,0
Jamaal Williams,RB,GB,25,0,1,5,0
Rashaad Penny,RB,SEA,15,0,1,10,0
Chase Edmonds,RB,ARI,10,0,1,10,0
Wayne Gallman,RB,NYG,10,0,1,10,0
Corey Grant,RB,JAX,5,0,1,10,0
Doug Martin,RB,OAK,15,0,0,0,0
Jacquizz Rodgers,RB,TB,5,0,1,10,0
Ito Smith,RB,ATL,15,0,0,0,0
Mark Walton,RB,CIN,10,0,1,5,0
Spencer Ware,RB,KC,10,0,1,5,0
Malcolm Brown,RB,LAR,5,0,1,5,0
Nick Chubb,RB,CLE,10,0,0,0,0
Stevan Ridley,RB,PIT,5,0,1,5,0
Rod Smith,RB,DAL,5,0,1,5,0
