Player,Team,GP,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Tack,Ast,Fum Rec,POS
Dwayne Allen,NE,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,5.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Vernon Davis,WAS,1.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Jack Doyle,IND,1.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Virgil Green,LAC,1.0,3.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clark Harris,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,3.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,3.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,4.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Koyack,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,1.0,75.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,TE
Troy Niklas,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Greg Olsen,CAR,1.0,5.0,122.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,TE
Niles Paul,,1.0,1.0,16.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,3.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,1.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Phillip Supernaw,,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,6.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,6.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
