Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Jacksonville Jaguars,DST,JAX,281,4675,18,15,52,1,5
Tennessee Titans,DST,TEN,332,4788,16,13,40,0,5
Minnesota Vikings,DST,MIN,293,4706,15,11,40,1,5
Los Angeles Rams,DST,LAR,325,5220,15,14,53,1,5
Baltimore Ravens,DST,BAL,294,4908,19,15,39,0,5
Los Angeles Chargers,DST,LAC,284,5232,16,14,46,0,5
Philadelphia Eagles,DST,PHI,286,5086,16,17,33,0,6
Pittsburgh Steelers,DST,PIT,313,5204,15,11,50,0,5
Denver Broncos,DST,DEN,339,4267,16,11,42,0,5
Green Bay Packers,DST,GB,335,5212,12,14,48,1,4
Dallas Cowboys,DST,DAL,328,5146,13,17,37,0,4
Atlanta Falcons,DST,ATL,329,5346,12,16,35,0,4
New England Patriots,DST,NE,281,5563,14,10,41,0,4
Seattle Seahawks,DST,SEA,323,5136,13,14,34,0,4
Arizona Cardinals,DST,ARI,340,4781,13,12,35,0,4
Chicago Bears,DST,CHI,344,5286,13,16,53,1,3
Carolina Panthers,DST,CAR,343,5264,12,16,49,0,4
Buffalo Bills,DST,BUF,329,5019,15,10,33,0,2
Washington Redskins,DST,WAS,378,5295,16,11,41,0,5
Houston Texans,DST,HOU,361,5073,15,11,43,1,4
New Orleans Saints,DST,NO,344,5478,18,11,33,0,5
Kansas City Chiefs,DST,KC,371,6044,16,15,26,0,5
Detroit Lions,DST,DET,340,5156,13,13,33,0,5
Oakland Raiders,DST,OAK,398,5679,13,14,34,0,4
Tampa Bay Buccaneers,DST,TB,365,6034,13,16,25,0,4
San Francisco 49ers,DST,SF,378,5233,14,12,31,0,4
Miami Dolphins,DST,MIA,347,5035,13,11,34,0,4
New York Jets,DST,NYJ,358,5371,15,12,34,0,3
Indianapolis Colts,DST,IND,388,5546,14,12,28,0,4
New York Giants,DST,NYG,368,5895,15,12,30,0,2
Cincinnati Bengals,DST,CIN,340,5219,15,8,37,0,2
