Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Blk,PA,POS
San Francisco 49ers,SF,16.0,38.87,2.8,5.62,1.02,1.1,1.08,394.17,DST
Chicago Bears,CHI,16.0,48.49,28.12,9.67,1.03,5.14,0.06,287.83,DST
Cincinnati Bengals,CIN,16.0,34.59,11.66,6.56,0.02,2.11,1.11,459.25,DST
Buffalo Bills,BUF,16.0,34.59,14.84,9.65,1.08,0.11,0.06,350.44,DST
Denver Broncos,DEN,16.0,45.27,15.79,9.65,0.03,2.1,4.1,347.19,DST
Cleveland Browns,CLE,16.0,37.72,17.84,13.73,1.03,0.11,2.09,377.96,DST
Tampa Bay Buccaneers,TB,16.0,39.19,8.87,8.7,0.04,0.11,0.08,424.51,DST
Arizona Cardinals,ARI,16.0,45.62,6.69,9.65,0.04,0.09,0.07,400.21,DST
Los Angeles Chargers,LAC,16.0,39.24,12.92,4.67,0.03,2.12,0.09,328.26,DST
Kansas City Chiefs,KC,16.0,51.48,13.96,10.68,0.04,3.14,1.11,419.95,DST
Indianapolis Colts,IND,16.0,40.78,14.05,10.6,0.04,0.11,2.09,328.49,DST
Dallas Cowboys,DAL,16.0,40.44,8.85,10.56,0.04,0.11,0.07,302.69,DST
Miami Dolphins,MIA,16.0,32.67,21.02,7.53,0.04,3.11,3.11,394.81,DST
Philadelphia Eagles,PHI,16.0,42.75,10.19,7.61,0.03,0.13,0.09,363.86,DST
Atlanta Falcons,ATL,16.0,38.28,15.05,4.67,0.03,1.1,1.08,394.84,DST
New York Giants,NYG,16.0,28.57,16.83,4.7,0.05,3.11,0.06,386.32,DST
Jacksonville Jaguars,JAX,16.0,33.9,11.84,5.58,2.04,3.1,0.07,315.19,DST
New York Jets,NYJ,16.0,39.75,13.66,7.57,0.02,4.1,4.1,416.5,DST
Detroit Lions,DET,16.0,42.25,6.7,7.64,0.03,2.1,0.09,365.69,DST
Green Bay Packers,GB,16.0,45.32,7.99,8.57,0.03,1.12,1.08,379.71,DST
Carolina Panthers,CAR,16.0,35.73,12.67,10.76,0.04,0.1,0.08,388.96,DST
New England Patriots,NE,16.0,28.38,19.07,7.62,0.03,1.12,4.11,339.63,DST
Oakland Raiders,OAK,16.0,14.55,13.67,3.64,0.02,2.1,2.09,446.68,DST
Los Angeles Rams,LAR,16.0,40.45,15.98,11.74,2.03,2.12,2.11,361.19,DST
Baltimore Ravens,BAL,16.0,45.1,10.0,5.64,0.03,1.14,0.07,273.55,DST
Washington Redskins,WAS,16.0,45.02,14.78,11.71,0.03,0.11,0.06,340.59,DST
New Orleans Saints,NO,16.0,50.79,13.1,12.6,0.04,1.12,2.1,328.8,DST
Seattle Seahawks,SEA,16.0,39.74,13.17,12.62,0.05,1.13,1.08,325.63,DST
Pittsburgh Steelers,PIT,16.0,50.87,8.85,7.65,2.06,2.12,3.11,362.4,DST
Houston Texans,HOU,16.0,42.53,14.85,13.65,0.05,3.13,1.08,329.46,DST
Tennessee Titans,TEN,16.0,39.65,10.9,5.59,0.03,1.12,0.07,284.11,DST
Minnesota Vikings,MIN,16.0,52.47,12.94,8.61,0.03,1.12,0.06,309.19,DST
