Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,2.44,0.05,0.48,0.49,0.41,0.2,K
Dan Bailey,MIN,1.0,2.75,0.01,0.48,0.52,0.39,0.16,K
Chris Boswell,PIT,1.0,2.65,0.02,0.48,0.53,0.45,0.26,K
Matt Bryant,ATL,1.0,1.98,0.03,0.48,0.57,0.38,0.29,K
Randy Bullock,CIN,1.0,2.51,0.06,0.48,0.47,0.52,0.22,K
Daniel Carlson,OAK,1.0,1.16,0.01,0.48,0.51,0.41,0.16,K
Mason Crosby,GB,1.0,2.16,0.05,0.48,0.52,0.48,0.2,K
Phil Dawson,ARI,1.0,1.19,0.08,0.48,0.5,0.51,0.2,K
Jake Elliott,PHI,1.0,2.39,0.06,0.48,0.55,0.66,0.2,K
Ka'imi Fairbairn,HOU,1.0,2.43,0.0,0.48,0.51,0.39,0.21,K
Graham Gano,CAR,1.0,2.69,0.0,0.48,0.64,0.42,0.2,K
Stephen Gostkowski,NE,1.0,2.6,0.07,0.48,0.48,0.41,0.22,K
Robbie Gould,SF,1.0,2.62,0.01,0.48,0.52,0.38,0.24,K
Stephen Hauschka,BUF,1.0,1.1,0.0,0.48,0.51,0.5,0.28,K
Dustin Hopkins,WAS,1.0,2.12,0.03,0.48,0.46,0.41,0.31,K
Sebastian Janikowski,SEA,1.0,2.04,0.06,0.48,0.47,0.44,0.24,K
Greg Joseph,CLE,1.0,2.24,0.0,0.48,0.56,0.37,0.18,K
Josh Lambo,JAX,1.0,1.62,0.11,0.48,0.45,0.4,0.27,K
Wil Lutz,NO,1.0,3.86,0.0,0.48,0.51,0.41,0.27,K
Brett Maher,DAL,1.0,3.45,0.0,0.48,0.51,0.39,0.21,K
Brandon McManus,DEN,1.0,2.47,0.03,0.48,0.46,0.4,0.34,K
Jason Myers,NYJ,1.0,1.0,0.07,0.48,0.5,0.49,0.23,K
Cody Parkey,CHI,1.0,2.32,0.04,0.48,0.56,0.44,0.18,K
Matt Prater,DET,1.0,2.07,0.05,0.48,0.45,0.56,0.31,K
Aldrick Rosas,NYG,1.0,2.07,0.03,0.48,0.53,0.45,0.21,K
Jason Sanders,MIA,1.0,2.07,0.02,0.48,0.48,0.49,0.25,K
Cairo Santos,TB,1.0,2.75,0.0,0.48,0.51,0.41,0.18,K
Ryan Succop,TEN,1.0,1.85,0.06,0.48,0.47,0.52,0.23,K
Justin Tucker,BAL,1.0,2.6,0.0,0.48,0.57,0.42,0.23,K
Adam Vinatieri,IND,1.0,3.45,0.01,0.48,0.51,0.36,0.22,K
