Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Cairo Santos,TB,SF,3,0,3,0,12.0,K
Mike Badgley,LAC,ARI,2,0,3,0,9.0,K
Dan Bailey,MIN,GB,2,0,3,0,9.0,K
Matt Bryant,ATL,@NO,2,0,3,0,9.0,K
Jake Elliott,PHI,NYG,2,0,3,0,9.0,K
Stephen Gostkowski,NE,@NYJ,2,0,3,0,9.0,K
Robbie Gould,SF,@TB,2,0,3,0,9.0,K
Chris Boswell,PIT,@DEN,2,0,2,0,8.0,K
Daniel Carlson,OAK,@BAL,2,0,2,0,8.0,K
Mason Crosby,GB,@MIN,2,0,2,0,8.0,K
Graham Gano,CAR,SEA,2,0,2,0,8.0,K
Josh Lambo,JAC,@BUF,2,0,2,0,8.0,K
Cody Parkey,CHI,@DET,2,0,2,0,8.0,K
Aldrick Rosas,NYG,@PHI,2,0,2,0,8.0,K
Jason Sanders,MIA,@IND,2,0,2,0,8.0,K
Justin Tucker,BAL,OAK,2,0,2,0,8.0,K
Wil Lutz,NO,ATL,1,0,4,0,7.0,K
Randy Bullock,CIN,CLE,1,0,3,0,6.0,K
Ka'imi Fairbairn,HOU,TEN,1,0,3,0,6.0,K
Sebastian Janikowski,SEA,@CAR,1,0,3,0,6.0,K
Greg Joseph,CLE,@CIN,1,0,3,0,6.0,K
Brett Maher,DAL,WAS,1,0,3,0,6.0,K
Brandon McManus,DEN,PIT,1,0,3,0,6.0,K
Matt Prater,DET,CHI,1,0,3,0,6.0,K
Phil Dawson,ARI,@LAC,1,0,2,0,5.0,K
Dustin Hopkins,WAS,@DAL,1,0,2,0,5.0,K
Jason Myers,NYJ,NE,1,0,2,0,5.0,K
Ryan Succop,TEN,@HOU,1,0,2,0,5.0,K
Steve Hauschka,BUF,JAC,1,0,1,0,4.0,K
Adam Vinatieri,IND,MIA,0,0,4,0,4.0,K
