Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Blk,Pass Def,POS,TD
Davante Adams,GB,1.0,0.0,0.0,5.46,64.43,0.49,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,3.19,0.03,4.53,49.44,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Keenan Allen,LAC,1.0,0.22,0.0,6.8,89.64,0.54,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geronimo Allison,GB,1.0,0.03,0.0,2.78,28.29,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Danny Amendola,MIA,1.0,0.03,0.0,5.12,59.66,0.41,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,1.63,0.01,3.99,52.68,0.32,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tavon Austin,DAL,1.0,7.23,0.04,0.21,1.8,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Doug Baldwin,SEA,1.0,0.0,0.0,4.1,60.64,0.48,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.0,0.0,2.46,25.72,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Odell Beckham,NYG,1.0,0.72,0.01,5.13,67.21,0.45,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.0,0.0,0.94,12.39,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.0,0.0,3.22,43.69,0.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Travis Benjamin,LAC,1.0,2.96,0.02,2.32,33.75,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Kendrick Bourne,SF,1.0,0.06,0.0,1.53,19.0,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Boyd,CIN,1.0,0.5,0.0,2.67,29.64,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Antonio Brown,PIT,1.0,0.0,0.0,6.36,94.07,0.67,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jaron Brown,SEA,1.0,0.0,0.0,1.54,21.52,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,0.0,0.0,2.26,31.87,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deante Burton,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.13,0.01,0.03,0.01,0.01,0.0,0.18,WR,0.0
Damiere Byrd,CAR,1.0,0.22,0.0,0.76,8.58,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
