Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",Ten,L 16-20,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",Jax,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",Den,W 21-14,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",TB,W 34-20,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",@Cin,L 16-30,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",TB,W 34-20,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",@Wsh,L 10-20,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",@LAR,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",@Phi,L 3-31,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",@Dal,W 28-6,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",Sea,L 13-24,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",GB,W 31-28,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",Mia,W 35-17,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",@Atl,L 20-34,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",@Pit,L 28-31,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",Min,L 23-30,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",GB,W 31-28,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",@KC,W 16-10,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",@Phi,L 3-31,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",@KC,W 16-10,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",@NYJ,W 35-27,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",@Ind,W 20-16,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",LAC,L 6-28,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",@Det,W 30-23,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",NO,W 26-20,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",@SF,W 24-13,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",Cle,W 30-16,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",Den,W 21-14,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",Hou,W 23-16,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",@Atl,L 20-34,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",@Dal,W 28-6,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",NYG,W 20-10,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",@Atl,L 20-34,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",@Dal,W 28-6,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",@Atl,L 20-34,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",@Oak,L 14-21,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",Car,L 27-35,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",@Phi,L 3-31,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",GB,W 31-28,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",Min,L 23-30,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",@Atl,L 20-34,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@Ind,W 20-16,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",@SF,W 24-13,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",Car,L 27-35,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",@Ari,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",@NE,L 17-35,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",@Dal,W 28-6,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",@LAR,L 20-26,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",@Wsh,L 10-20,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",Chi,W 31-3,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",@Cin,L 16-30,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",Buf,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",@Dal,W 28-6,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",@Bal,L 16-23,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",@Dal,W 28-6,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",NO,W 26-20,--/--,--/--,--/--,--/--,--/--,--,K
