Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Chris Boswell,PIT,BAL,3,0,3,0,12.0,K
Caleb Sturgis,LAC,SF,3,0,3,0,12.0,K
Randy Bullock,CIN,@ATL,2,0,3,0,9.0,K
Ka'imi Fairbairn,HOU,@IND,2,0,3,0,9.0,K
Sam Ficken,LAR,MIN,2,0,3,0,9.0,K
Matthew McCrane,OAK,CLE,2,0,3,0,9.0,K
Brandon McManus,DEN,KC,2,0,3,0,9.0,K
Matt Prater,DET,@DAL,2,0,3,0,9.0,K
Aldrick Rosas,NYG,NO,2,0,3,0,9.0,K
Justin Tucker,BAL,@PIT,2,0,3,0,9.0,K
Chandler Catanzaro,TB,@CHI,2,0,2,0,8.0,K
Jake Elliott,PHI,@TEN,2,0,2,0,8.0,K
Stephen Gostkowski,NE,MIA,2,0,2,0,8.0,K
Robbie Gould,SF,@LAC,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,@ARI,2,0,2,0,8.0,K
Josh Lambo,JAC,NYJ,2,0,2,0,8.0,K
Brett Maher,DAL,DET,2,0,2,0,8.0,K
Jason Sanders,MIA,@NE,2,0,2,0,8.0,K
Ryan Succop,TEN,PHI,2,0,2,0,8.0,K
Adam Vinatieri,IND,HOU,2,0,2,0,8.0,K
Matt Bryant,ATL,CIN,1,0,4,0,7.0,K
Harrison Butker,KC,@DEN,1,0,4,0,7.0,K
Wil Lutz,NO,@NYG,1,0,4,0,7.0,K
Dan Bailey,MIN,@LAR,1,0,3,0,6.0,K
Mason Crosby,GB,BUF,1,0,3,0,6.0,K
Steve Hauschka,BUF,@GB,1,0,3,0,6.0,K
Greg Joseph,CLE,@OAK,1,0,3,0,6.0,K
Cody Parkey,CHI,TB,1,0,3,0,6.0,K
Phil Dawson,ARI,SEA,1,0,2,0,5.0,K
Jason Myers,NYJ,@JAC,1,0,2,0,5.0,K
