Player,FG,FGA,XPT,FPTS,POS
Stephen Gostkowski NE,2.1,2.4,2.6,9.0,K
Sam Ficken SEA,2.0,2.4,2.7,8.8,K
Harrison Butker KC,1.8,2.0,3.1,8.5,K
Wil Lutz NO,1.8,2.0,3.1,8.4,K
Justin Tucker BAL,1.9,2.1,2.6,8.4,K
Matt Bryant ATL,1.8,2.1,3.0,8.4,K
Josh Lambo JAC,2.0,2.1,2.3,8.2,K
Adam Vinatieri IND,1.9,2.2,2.3,8.1,K
Ka'imi Fairbairn HOU,1.9,2.2,2.5,8.1,K
Matt Prater DET,1.9,2.1,2.4,8.0,K
Brandon McManus DEN,1.8,2.1,2.5,7.8,K
Randy Bullock CIN,1.8,2.0,2.5,7.8,K
Jake Elliott PHI,1.8,2.2,2.2,7.7,K
Aldrick Rosas NYG,1.8,2.1,2.3,7.6,K
Brett Maher DAL,1.8,2.1,2.2,7.6,K
Mason Crosby GB,1.6,1.9,2.6,7.5,K
Ryan Succop TEN,1.8,2.2,1.9,7.5,K
Matt McCrane PIT,1.7,2.0,2.4,7.5,K
Sebastian Janikowski SEA,1.8,2.1,2.1,7.4,K
Cody Parkey CHI,1.6,1.8,2.5,7.2,K
Robbie Gould SF,1.7,1.9,1.9,7.1,K
Jason Sanders MIA,1.6,1.8,2.1,6.9,K
Greg Joseph CLE,1.5,1.8,2.3,6.8,K
Dan Bailey MIN,1.5,1.8,2.3,6.7,K
Steven Hauschka BUF,1.5,1.7,2.0,6.6,K
Jason Myers NYJ,1.3,1.6,1.6,5.6,K
Giorgio Tavecchio ATL,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
Cairo Santos TB,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
