Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,1.58,0.01,0.48,0.56,0.44,0.18,K
Chris Boswell,PIT,1.0,2.42,0.03,0.48,0.52,0.45,0.19,K
Matt Bryant,ATL,1.0,2.45,0.02,0.47,0.57,0.43,0.23,K
Randy Bullock,CIN,1.0,2.17,0.0,0.48,0.46,0.55,0.25,K
Harrison Butker,KC,1.0,2.6,0.09,0.48,0.5,0.47,0.28,K
Chandler Catanzaro,CAR,1.0,2.34,0.06,0.48,0.55,0.49,0.17,K
Mason Crosby,GB,1.0,2.53,0.08,0.48,0.46,0.44,0.24,K
Phil Dawson,ARI,1.0,1.84,0.0,0.48,0.53,0.4,0.23,K
Jake Elliott,PHI,1.0,2.07,0.01,0.48,0.5,0.39,0.19,K
Ka'imi Fairbairn,HOU,1.0,1.56,0.01,0.48,0.48,0.43,0.23,K
Sam Ficken,,1.0,2.6,0.06,0.48,0.58,0.32,0.12,K
Stephen Gostkowski,NE,1.0,2.88,0.01,0.48,0.52,0.44,0.22,K
Robbie Gould,SF,1.0,1.63,0.0,0.48,0.52,0.5,0.21,K
Stephen Hauschka,BUF,1.0,1.34,0.02,0.48,0.45,0.48,0.23,K
Sebastian Janikowski,SEA,1.0,2.31,0.1,0.48,0.48,0.44,0.29,K
Greg Joseph,CLE,1.0,1.44,0.01,0.48,0.6,0.45,0.18,K
Josh Lambo,JAX,1.0,2.05,0.01,0.48,0.54,0.53,0.25,K
Wil Lutz,NO,1.0,2.19,0.03,0.48,0.51,0.49,0.25,K
Brett Maher,DAL,1.0,2.5,0.0,0.48,0.49,0.39,0.2,K
Matt McCrane,PIT,1.0,1.77,0.03,0.48,0.35,0.35,0.15,K
Brandon McManus,DEN,1.0,2.6,0.0,0.48,0.53,0.47,0.27,K
Jason Myers,NYJ,1.0,1.34,0.03,0.48,0.54,0.59,0.2,K
Cody Parkey,CHI,1.0,2.95,0.02,0.48,0.59,0.43,0.18,K
Matt Prater,DET,1.0,1.53,0.07,0.48,0.51,0.37,0.22,K
Aldrick Rosas,NYG,1.0,1.35,0.0,0.49,0.55,0.53,0.15,K
Jason Sanders,MIA,1.0,2.28,0.04,0.48,0.42,0.41,0.16,K
Caleb Sturgis,,1.0,2.76,0.04,0.48,0.57,0.41,0.19,K
Ryan Succop,TEN,1.0,1.57,0.01,0.48,0.46,0.46,0.23,K
Justin Tucker,BAL,1.0,1.89,0.0,0.48,0.54,0.47,0.31,K
Adam Vinatieri,IND,1.0,2.32,0.0,0.48,0.5,0.43,0.26,K
