Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,NO,W 20-17,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,Ind,W 13-7,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,@Cin,W 33-7,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Chi,L 7-33,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,GB,L 21-27,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@NYG,W 30-10,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,NYJ,W 23-0,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@TB,W 24-21,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Cle,W 27-21,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Ari,L 7-12,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@Buf,L 7-13,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Oak,W 26-15,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@KC,L 15-26,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,Phi,L 35-43,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,NE,W 27-20,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Car,L 24-31,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@Mia,L 20-27,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@Atl,L 17-20,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,Dal,L 10-30,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@Den,L 0-23,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@LAR,W 43-35,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,Ten,W 12-7,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,Bal,W 39-38,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,Wsh,W 30-13,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Hou,W 26-16,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@Jax,L 24-30,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,Det,L 21-24,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@LAC,L 13-30,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,Min,W 31-24,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,Sea,W 30-24,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Pit,L 38-39,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,SF,L 16-26,--,--,--,--,--,--,--,--,DST
