Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Packers, GB",1.4,0.0,3.6,37.7,1.1,1.5,0.29,15.2,204.0,92.0,296,16,DST
"Patriots, NE",1.5,0.1,2.3,39.7,0.8,1.1,0.36,11.6,198.0,112.0,310,15,DST
"Bengals, CIN",0.7,0.1,2.4,36.7,0.7,0.9,0.2,11.1,142.0,113.0,255,14,DST
"Jaguars, JAC",1.1,0.1,3.0,40.7,0.7,1.0,0.28,16.5,188.0,100.0,288,14,DST
"Broncos, DEN",1.1,0.0,2.8,39.8,0.8,1.1,0.24,19.1,183.0,86.0,269,14,DST
"Bears, CHI",0.8,0.0,2.8,40.8,1.1,1.5,0.23,19.9,195.0,97.0,292,13,DST
"Vikings, MIN",1.1,0.0,2.3,42.4,0.9,1.2,0.28,19.8,177.0,118.0,295,13,DST
"Steelers, PIT",1.2,0.0,2.5,44.4,0.6,0.9,0.25,18.1,183.0,105.0,288,13,DST
"Cowboys, DAL",0.8,0.0,2.1,41.8,1.1,1.5,0.27,15.3,194.0,91.0,285,13,DST
"Cardinals, ARI",1.3,0.0,1.9,38.8,0.7,1.0,0.27,19.8,187.0,102.0,289,13,DST
"Browns, CLE",1.2,0.0,2.1,41.5,0.5,0.7,0.21,18.8,170.0,116.0,286,12,DST
"Jets, NYJ",1.5,0.0,2.2,41.1,0.9,1.2,0.29,20.0,207.0,106.0,313,12,DST
"Panthers, CAR",0.5,0.1,2.5,44.4,0.8,1.2,0.21,19.1,197.0,99.0,296,12,DST
"Chargers, LAC",0.9,0.0,2.7,42.6,1.1,1.5,0.29,18.3,235.0,108.0,343,12,DST
"Titans, TEN",1.8,0.0,2.7,42.0,0.8,1.1,0.33,22.4,239.0,85.0,324,11,DST
"Buccaneers, TB",0.8,0.0,2.5,41.6,1.1,1.5,0.25,20.8,264.0,79.0,343,11,DST
"Bills, BUF",1.0,0.1,2.8,40.5,0.7,0.9,0.22,19.3,215.0,105.0,320,11,DST
"Texans, HOU",0.9,0.0,2.9,39.7,0.7,1.0,0.25,18.7,199.0,108.0,307,11,DST
"49ers, SF",1.1,0.0,2.2,42.4,0.8,1.1,0.24,20.9,202.0,111.0,313,11,DST
"Seahawks, SEA",1.1,0.0,2.0,44.5,0.9,1.3,0.23,18.8,178.0,124.0,302,11,DST
"Colts, IND",0.8,0.0,2.3,40.7,0.7,0.9,0.22,20.7,171.0,132.0,303,10,DST
"Eagles, PHI",1.1,0.1,2.1,40.0,1.1,1.5,0.3,23.1,208.0,98.0,306,10,DST
"Rams, LAR",0.9,0.0,2.8,44.5,0.8,1.2,0.27,21.6,214.0,133.0,347,9,DST
"Giants, NYG",0.7,0.0,1.6,42.1,0.8,1.1,0.18,18.8,203.0,129.0,332,9,DST
"Ravens, BAL",1.3,0.0,1.9,43.8,0.7,1.0,0.28,24.6,249.0,102.0,351,9,DST
"Lions, DET",0.9,0.0,2.0,42.7,0.8,1.0,0.28,21.4,257.0,94.0,351,9,DST
"Redskins, WAS",1.0,0.0,1.7,41.2,0.7,0.9,0.24,26.5,251.0,101.0,352,8,DST
"Chiefs, KC",0.8,0.0,1.1,40.3,0.9,1.2,0.29,22.4,255.0,110.0,365,8,DST
"Saints, NO",0.7,0.0,1.7,42.4,0.7,0.9,0.21,25.2,250.0,127.0,377,7,DST
"Falcons, ATL",0.6,0.0,1.5,48.7,0.8,1.1,0.21,25.2,258.0,135.0,393,7,DST
"Raiders, OAK",0.6,0.0,1.7,41.1,0.7,1.0,0.19,26.4,232.0,111.0,343,7,DST
