Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,1.0,1.0,0.0,0.0,57.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,1.0,1.0,1.0,0.0,0.0,46.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,234.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,109.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,482.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,227.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,4.0,1.0,1.0,1.0,0.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,341.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,0.0,2.0,1.0,1.0,0.0,0.0,60.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,2.0,0.0,0.0,0.0,0.0,60.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,204.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,1.0,0.0,0.0,0.0,0.0,67.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,3.0,2.0,1.0,1.0,0.0,0.0,37.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,0.0,1.0,1.0,1.0,0.0,0.0,36.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,0.0,2.0,0.0,1.0,0.0,0.0,86.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,2.0,0.0,0.0,0.0,0.0,56.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,248.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,0.0,2.0,2.0,1.0,0.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,307.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,65.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,306.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,454.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,3.0,0.0,0.0,0.0,0.0,129.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,401.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,273.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,2.0,3.0,3.0,0.0,0.0,86.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,2.0,0.0,0.0,0.0,0.0,138.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,345.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,6.0,2.0,1.0,2.0,0.0,0.0,57.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,356.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,362.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,408.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,1.0,0.0,0.0,1.0,1.0,71.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,455.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,0.0,0.0,1.0,0.0,0.0,126.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,545.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,0.0,0.0,1.0,0.0,140.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,488.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,3.0,0.0,1.0,0.0,0.0,121.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,343.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,0.0,0.0,1.0,1.0,0.0,0.0,106.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,424.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,1.0,1.0,0.0,2.0,0.0,0.0,76.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,413.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
