Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Ben Roethlisberger,QB,PIT,315,3,1,5,0
Patrick Mahomes,QB,KC,300,3,1,10,0
Tom Brady,QB,NE,285,3,0,5,0
Josh Allen,QB,BUF,190,1,1,60,1
Lamar Jackson,QB,BAL,165,1,1,65,1
Cam Newton,QB,CAR,275,2,1,30,0
Mitchell Trubisky,QB,CHI,255,2,1,35,0
Deshaun Watson,QB,HOU,245,2,1,35,0
Jared Goff,QB,LAR,285,2,1,5,0
Andrew Luck,QB,IND,275,2,0,10,0
Philip Rivers,QB,LAC,295,2,1,0,0
Jameis Winston,QB,TB,245,2,1,25,0
Kirk Cousins,QB,MIN,275,2,0,5,0
Russell Wilson,QB,SEA,235,2,1,25,0
Dak Prescott,QB,DAL,240,2,1,20,0
Drew Brees,QB,NO,275,2,0,0,0
Nick Foles,QB,PHI,255,2,1,10,0
Matt Ryan,QB,ATL,265,2,0,5,0
Derek Carr,QB,OAK,245,2,1,5,0
Baker Mayfield,QB,CLE,245,2,1,5,0
Nick Mullens,QB,SF,250,2,1,0,0
Aaron Rodgers,QB,GB,245,1,1,20,0
Josh Johnson,QB,WAS,185,1,1,45,0
Marcus Mariota,QB,TEN,205,1,1,35,0
Ryan Tannehill,QB,MIA,235,1,2,10,0
Case Keenum,QB,DEN,230,1,1,10,0
Cody Kessler,QB,JAX,205,1,1,20,0
Jeff Driskel,QB,CIN,220,1,1,10,0
Eli Manning,QB,NYG,235,1,1,0,0
Josh Rosen,QB,ARI,195,1,1,15,0
Sam Darnold,QB,NYJ,200,1,1,10,0
Matthew Stafford,QB,DET,205,1,1,5,0
Joe Flacco,QB,BAL,35,0,0,0,0
Taysom Hill,QB,NO,0,0,0,10,0
