Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",@Sea,L 18-46,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",SF,W 18-15,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",@Den,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",Buf,L 17-23,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",Cin,L 7-31,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",Buf,L 17-23,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",@TB,L 23-25,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",@Mia,W 20-0,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",@GB,L 14-35,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",Phi,L 24-26,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",@Ari,L 15-18,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",@Bal,W 26-9,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",Car,L 30-33,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",NYG,W 25-23,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",Chi,W 35-14,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",@Min,W 14-7,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",@Bal,W 26-9,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",@Atl,W 23-17,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",@GB,L 14-35,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",@Atl,W 23-17,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",@NE,W 33-30,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",@Hou,L 14-57,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",LAR,L 30-35,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",Det,L 7-14,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",@Dal,W 35-30,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",Ind,W 46-18,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",@Cle,W 31-7,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",@Den,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",Pit,L 9-26,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",NYG,W 25-23,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",Phi,L 24-26,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",@KC,L 20-29,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",NYG,W 25-23,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",Phi,L 24-26,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",NYG,W 25-23,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",Oak,W 16-10,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",Jax,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",@GB,L 14-35,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",@Bal,W 26-9,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",@Min,W 14-7,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",NYG,W 25-23,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@Hou,L 14-57,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",Ind,W 46-18,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",Jax,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",@NYJ,L 20-23,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",NO,L 0-20,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",Phi,L 24-26,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",@Mia,W 20-0,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",@TB,L 23-25,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",@LAC,W 26-24,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",Cin,L 7-31,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",Wsh,W 29-20,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",Phi,L 24-26,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",Ten,W 57-14,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",Phi,L 24-26,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",@Dal,W 35-30,--/--,--/--,--/--,--/--,--/--,--,K
