Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Ezekiel Elliott,RB,DAL,115,1,4,30,0
Todd Gurley,RB,LAR,100,1,5,40,0
Saquon Barkley,RB,NYG,80,1,7,55,0
Joe Mixon,RB,CIN,90,1,4,35,0
Christian McCaffrey,RB,CAR,65,1,7,55,0
David Johnson,RB,ARI,75,1,5,35,0
Alvin Kamara,RB,NO,70,1,5,40,0
Nick Chubb,RB,CLE,80,1,4,25,0
Chris Carson,RB,SEA,85,1,2,15,0
Leonard Fournette,RB,JAX,75,1,3,25,0
Phillip Lindsay,RB,DEN,75,1,3,25,0
Justin Jackson,RB,LAC,70,1,3,25,0
Dalvin Cook,RB,MIN,65,1,4,25,0
Gus Edwards,RB,BAL,75,1,2,15,0
Lamar Miller,RB,HOU,65,1,3,25,0
Damien Williams,RB,KC,70,1,2,20,0
Aaron Jones,RB,GB,65,1,3,20,0
Tarik Cohen,RB,CHI,30,0,6,50,1
Tevin Coleman,RB,ATL,60,1,2,20,0
Kenneth Dixon,RB,BAL,60,1,2,15,0
Doug Martin,RB,OAK,65,1,2,10,0
Sony Michel,RB,NE,65,1,1,5,0
Josh Adams,RB,PHI,65,1,0,0,0
Derrick Henry,RB,TEN,60,1,1,5,0
Jordan Howard,RB,CHI,55,1,1,10,0
Jaylen Samuels,RB,PIT,40,0,6,45,0
Jeff Wilson,RB,SF,55,0,4,25,0
Marlon Mack,RB,IND,60,0,1,10,0
Elijah McGuire,RB,NYJ,45,0,3,25,0
Jalen Richard,RB,OAK,30,0,6,40,0
Kenyan Drake,RB,MIA,30,0,4,35,0
James White,RB,NE,25,0,6,40,0
Mark Ingram,RB,NO,40,0,2,20,0
Adrian Peterson,RB,WAS,50,0,1,10,0
Mike Davis,RB,SEA,35,0,2,20,0
Frank Gore,RB,MIA,40,0,2,15,0
Nyheim Hines,RB,IND,20,0,4,35,0
Peyton Barber,RB,TB,40,0,1,10,0
Dion Lewis,RB,TEN,30,0,3,20,0
Marcus Murphy,RB,BUF,30,0,2,20,0
Giovani Bernard,RB,CIN,20,0,3,25,0
Matt Breida,RB,SF,35,0,1,10,0
Theo Riddick,RB,DET,10,0,5,35,0
Jacquizz Rodgers,RB,TB,10,0,4,35,0
Trenton Cannon,RB,NYJ,25,0,2,15,0
Darren Sproles,RB,PHI,20,0,2,20,0
T.J. Yeldon,RB,JAX,15,0,3,25,0
LeGarrette Blount,RB,DET,35,0,0,0,0
Alfred Blue,RB,HOU,25,0,1,10,0
Rex Burkhead,RB,NE,25,0,1,10,0
Royce Freeman,RB,DEN,30,0,1,5,0
Ito Smith,RB,ATL,20,0,2,15,0
Chris Thompson,RB,WAS,15,0,2,20,0
Duke Johnson,RB,CLE,10,0,2,20,0
Darrel Williams,RB,KC,20,0,1,10,0
Zach Zenner,RB,DET,30,0,0,0,0
Latavius Murray,RB,MIN,25,0,0,0,0
Chase Edmonds,RB,ARI,15,0,1,5,0
Stevan Ridley,RB,PIT,20,0,0,0,0
Jamaal Williams,RB,GB,15,0,1,5,0
Devontae Booker,RB,DEN,5,0,1,10,0
DeAndre Washington,RB,OAK,10,0,1,5,0
Kyle Juszczyk,RB,SF,0,0,1,10,0
Charcandrick West,RB,KC,10,0,0,0,0
Rod Smith,RB,DAL,5,0,0,0,0
