Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,93.0,0.9,4.7,40.2,0.2
Ezekiel Elliott,RB,DAL,99.8,0.8,4.7,37.0,0.2
Christian McCaffrey,RB,CAR,68.2,0.7,6.4,53.8,0.3
Saquon Barkley,RB,NYG,78.2,0.7,6.5,49.8,0.2
Nick Chubb,RB,CLE,90.2,0.8,2.2,17.9,0.1
Alvin Kamara,RB,NO,61.8,0.7,5.0,42.2,0.3
Joe Mixon,RB,CIN,76.5,0.6,3.6,28.0,0.1
Phillip Lindsay,RB,DEN,78.9,0.8,2.7,19.7,0.1
Chris Carson,RB,SEA,78.8,0.7,1.9,15.5,0.1
David Johnson,RB,ARI,66.6,0.5,4.1,31.4,0.1
Leonard Fournette,RB,JAX,68.8,0.6,2.8,23.2,0.1
Dalvin Cook,RB,MIN,65.7,0.6,3.9,28.2,0.1
Derrick Henry,RB,TEN,71.9,0.7,1.1,7.7,0.0
Sony Michel,RB,NE,68.5,0.7,1.0,7.0,0.0
Tevin Coleman,RB,ATL,51.9,0.5,2.7,24.7,0.2
Gus Edwards,RB,BAL,72.9,0.6,0.8,5.8,0.0
Damien Williams,RB,KC,48.0,0.5,3.2,24.0,0.2
Marlon Mack,RB,IND,69.4,0.5,1.4,10.9,0.1
Lamar Miller,RB,HOU,61.8,0.5,2.0,16.7,0.1
Doug Martin,RB,OAK,62.4,0.6,1.8,12.3,0.0
Tarik Cohen,RB,CHI,29.1,0.1,4.8,45.9,0.4
Jordan Howard,RB,CHI,62.5,0.6,1.1,8.4,0.0
Jaylen Samuels,RB,PIT,42.6,0.3,3.8,31.3,0.1
Justin Jackson,RB,LAC,47.8,0.5,2.2,20.1,0.1
Elijah McGuire,RB,NYJ,52.0,0.3,2.9,24.1,0.1
Josh Adams,RB,PHI,59.1,0.5,0.8,5.2,0.0
Mark Ingram,RB,NO,51.4,0.4,2.0,15.9,0.0
Kenneth Dixon,RB,BAL,41.9,0.5,1.6,12.2,0.0
Adrian Peterson,RB,WAS,59.7,0.3,1.1,9.7,0.0
James White,RB,NE,17.2,0.1,5.2,41.4,0.2
Kenyan Drake,RB,MIA,27.9,0.1,3.6,29.4,0.1
Peyton Barber,RB,TB,47.1,0.3,1.4,10.4,0.0
Dion Lewis,RB,TEN,36.1,0.2,3.0,19.6,0.1
Jalen Richard,RB,OAK,25.4,0.1,4.5,33.7,0.1
Kalen Ballage,RB,MIA,40.0,0.2,1.3,7.4,0.0
Mike Davis,RB,SEA,32.5,0.2,2.2,15.7,0.1
Jeff Wilson,RB,SF,36.9,0.2,2.3,17.2,0.0
Theo Riddick,RB,DET,18.6,0.1,5.1,33.9,0.1
Nyheim Hines,RB,IND,23.9,0.1,3.4,24.4,0.1
Alfred Blue,RB,HOU,38.5,0.2,1.2,9.6,0.0
Jamaal Williams,RB,GB,32.7,0.2,1.7,10.8,0.0
Trenton Cannon,RB,NYJ,25.3,0.2,2.2,17.8,0.0
Zach Zenner,RB,DET,33.1,0.2,1.1,6.9,0.0
LeGarrette Blount,RB,DET,36.5,0.2,0.9,5.5,0.0
Duke Johnson,RB,CLE,17.8,0.1,2.5,23.2,0.1
Royce Freeman,RB,DEN,32.9,0.2,1.0,7.0,0.0
T.J. Yeldon,RB,JAX,17.7,0.1,2.9,23.7,0.1
Chris Thompson,RB,WAS,17.9,0.1,3.0,23.1,0.1
Latavius Murray,RB,MIN,30.1,0.2,0.8,5.6,0.0
Darren Sproles,RB,PHI,15.9,0.1,2.5,20.4,0.1
Giovani Bernard,RB,CIN,18.0,0.1,2.5,18.2,0.0
Wendell Smallwood,RB,PHI,16.3,0.1,1.6,13.2,0.1
Rex Burkhead,RB,NE,17.4,0.1,1.4,11.6,0.0
Detrez Newsome,RB,LAC,15.1,0.1,1.0,9.2,0.1
Chase Edmonds,RB,ARI,20.4,0.1,1.3,8.0,0.0
Darrel Williams,RB,KC,13.6,0.1,0.9,8.3,0.1
Stevan Ridley,RB,PIT,19.7,0.1,0.5,4.2,0.0
Jacquizz Rodgers,RB,TB,6.7,0.0,2.2,17.7,0.0
Wayne Gallman,RB,NYG,11.8,0.1,1.0,6.6,0.0
Kyle Juszczyk,RB,SF,2.5,0.0,1.8,15.9,0.1
Devontae Booker,RB,DEN,5.0,0.0,1.5,12.4,0.0
Charcandrick West,RB,KC,9.6,0.1,0.6,4.6,0.0
Brian Hill,RB,ATL,10.9,0.1,0.2,1.4,0.0
Rod Smith,RB,DAL,9.3,0.1,0.4,2.9,0.0
Ronald Jones,RB,TB,7.3,0.1,0.6,4.8,0.0
John Kelly,RB,LAR,8.6,0.1,0.3,2.5,0.0
DeAndre Washington,RB,OAK,7.5,0.0,0.5,3.7,0.0
Jordan Wilkins,RB,IND,8.1,0.0,0.7,3.9,0.0
Taquan Mizzell,RB,CHI,4.6,0.0,0.6,5.0,0.0
J.D. McKissic,RB,SEA,4.3,0.0,0.4,3.1,0.0
Andy Janovich,RB,DEN,1.4,0.0,0.6,6.2,0.0
Cameron Artis-Payne,RB,CAR,6.8,0.0,0.2,1.2,0.0
Javorius Allen,RB,BAL,3.6,0.0,0.6,4.6,0.0
