Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Dwayne Harris,OAK,1.0,0.09,0.0,0.18,4.61,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Maurice Harris,WAS,1.0,0.03,0.0,0.3,4.46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darrius Heyward-Bey,PIT,1.0,0.43,0.0,0.24,3.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.03,0.0,2.29,26.61,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,3.61,0.03,5.4,84.48,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.06
T.Y. Hilton,IND,1.0,0.18,0.0,5.81,71.58,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Chris Hogan,NE,1.0,2.12,0.0,3.46,53.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.42,0.0,1.2,13.95,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.18,0.0,5.97,86.09,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,0.45,0.0,3.31,38.43,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Hurns,DAL,1.0,0.06,0.0,2.36,34.06,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeSean Jackson,TB,1.0,2.1,0.01,3.4,59.51,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,0.05,0.0,0.37,6.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Johnson,IND,1.0,0.03,0.0,0.28,4.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J.J. Jones,NYJ,1.0,0.77,0.0,0.25,3.38,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,1.07,0.01,7.01,96.86,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Jones,DET,1.0,0.15,0.0,4.2,64.8,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
T.J. Jones,DET,1.0,0.04,0.0,1.14,16.55,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.07,0.0,2.4,30.52,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jermaine Kearse,NYJ,1.0,0.1,0.0,1.54,19.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Kemp,KC,1.0,0.17,0.0,0.26,5.86,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Christian Kirk,ARI,1.0,0.15,0.0,1.95,22.43,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cooper Kupp,LAR,1.0,1.07,0.02,4.9,62.93,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jarvis Landry,CLE,1.0,0.14,0.0,5.25,63.66,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Latimer,NYG,1.0,0.31,0.0,1.55,21.65,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Lockett,SEA,1.0,2.41,0.03,3.83,52.78,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Malone,CIN,1.0,0.76,0.0,0.67,7.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Marshall,FA,1.0,0.16,0.0,3.59,48.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Freddie Martino,FA,1.0,0.07,0.0,0.38,6.66,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rishard Matthews,NYJ,1.0,0.18,0.0,3.45,45.52,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ray-Ray McCloud,BUF,1.0,0.42,0.0,0.69,8.36,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Meredith,NO,1.0,0.04,0.0,1.81,24.76,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaydon Mickens,JAX,1.0,0.1,0.0,0.39,6.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Anthony Miller,CHI,1.0,0.25,0.0,2.16,23.25,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Donte Moncrief,JAX,1.0,0.2,0.0,2.59,32.48,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Moore,BAL,1.0,0.78,0.0,0.78,11.88,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Moore,CAR,1.0,2.72,0.01,1.16,14.77,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
David Moore,SEA,1.0,0.21,0.0,0.57,8.52,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JoJo Natson,LAR,1.0,0.45,0.01,0.42,5.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J.J. Nelson,ARI,1.0,0.41,0.0,0.76,13.59,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
