Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum Yds,POS
C.J. Beathard,SF,1.0,25.0,19.0,6.0,288.0,2.0,1.0,0.0,0.0,2.0,1.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,51.0,28.0,23.0,273.0,1.0,2.0,3.0,0.0,0.0,0.0,5.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,34.0,25.0,9.0,266.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,25.0,18.0,7.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,24.0,14.0,10.0,222.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,45.0,26.0,19.0,327.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jay Cutler,,1.0,37.0,22.0,15.0,213.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,35.0,20.0,15.0,265.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-4.0,QB
Chase Daniel,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,34.0,17.0,17.0,187.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
