Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum Yds,POS
Jared Goff,LA,1.0,37.0,25.0,12.0,355.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,3.0,3.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brett Hundley,SEA,1.0,25.0,18.0,7.0,212.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,29.0,21.0,8.0,304.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,QB
Cody Kessler,JAX,1.0,3.0,1.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
DeShone Kizer,GB,1.0,37.0,21.0,16.0,232.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,37.0,28.0,9.0,273.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,44.0,25.0,19.0,264.0,1.0,1.0,4.0,0.0,0.0,0.0,6.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,39.0,23.0,16.0,262.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Cam Newton,CAR,1.0,35.0,21.0,14.0,254.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,33.0,18.0,15.0,221.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nathan Peterman,OAK,1.0,10.0,7.0,3.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,30.0,20.0,10.0,176.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,42.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,37.0,21.0,16.0,235.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2.0,QB
Ben Roethlisberger,PIT,1.0,31.0,19.0,12.0,236.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-8.0,QB
Matt Ryan,ATL,1.0,29.0,22.0,7.0,215.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Savage,CIN,1.0,36.0,18.0,18.0,221.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,26.0,17.0,9.0,249.0,3.0,1.0,4.0,0.0,1.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Stanton,CLE,1.0,47.0,24.0,23.0,273.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,18.0,9.0,9.0,56.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,35.0,21.0,14.0,297.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Webb,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,32.0,22.0,10.0,238.0,2.0,0.0,5.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
