Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tom Brady, NE QB",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mike Vick, Pit QB",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Brees, NO QB",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh McCown, NYJ QB",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Shaun Hill, Min QB",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Carson Palmer, Ari QB",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tony Romo, Dal QB",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Eli Manning, NYG QB",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Philip Rivers, LAC QB",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ben Roethlisberger, Pit QB",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Schaub, Atl QB",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Luke McCown, Dal QB",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Alex Smith, Wsh QB",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Aaron Rodgers, GB QB",@Chi,W 23-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan Orlovsky, LAR QB",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Derek Anderson, Car QB",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Cassel, Det QB",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Fitzpatrick, TB QB",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jay Cutler, Mia QB",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Clemens, LAC QB",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tarvaris Jackson, Sea QB",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Charlie Whitehurst, Cle QB",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Bruce Gradkowski, Pit QB",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Stanton, Cle QB",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Moore, Mia QB",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Ryan, Atl QB",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Flacco, Bal QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Chad Henne, KC QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Josh Johnson, Oak QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Matt Flynn, NO QB",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chase Daniel, Chi QB",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Freeman, Ind QB",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Brian Hoyer, NE QB",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mark Sanchez, Chi QB",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matthew Stafford, Det QB",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
