Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Seahawks, SEA",1.4,0.0,2.1,34.2,0.6,0.8,0.11,11.9,138.0,72.0,210,16,DST
"Bills, BUF",1.8,0.0,3.3,34.9,0.8,1.1,0.06,14.8,196.0,91.0,287,14,DST
"Ravens, BAL",1.0,0.0,2.6,44.7,1.0,1.3,0.13,18.1,205.0,94.0,299,13,DST
"Vikings, MIN",1.3,0.0,3.0,40.5,0.8,1.1,0.24,18.7,213.0,99.0,312,12,DST
"Falcons, ATL",0.7,0.0,2.6,39.8,0.9,1.2,0.04,19.5,159.0,127.0,286,12,DST
"Texans, HOU",1.3,0.0,2.6,38.8,0.9,1.2,0.11,15.5,204.0,98.0,302,11,DST
"Patriots, NE",0.9,0.0,2.6,41.1,0.8,1.1,0.21,18.3,209.0,94.0,303,11,DST
"Packers, GB",1.4,0.1,2.3,36.0,0.6,0.8,0.09,14.8,206.0,102.0,308,11,DST
"Dolphins, MIA",1.4,0.0,2.1,40.9,0.7,0.9,0.09,18.0,204.0,124.0,328,10,DST
"Cardinals, ARI",1.2,0.1,1.9,44.3,1.0,1.4,0.03,20.1,261.0,89.0,350,10,DST
"Raiders, OAK",1.4,0.0,1.9,42.2,1.2,1.7,0.18,23.7,275.0,99.0,374,10,DST
"Broncos, DEN",0.6,0.1,2.5,42.4,1.0,1.3,0.04,20.1,206.0,99.0,305,10,DST
"Cowboys, DAL",0.8,0.0,1.8,45.2,0.9,1.2,0.14,18.1,235.0,115.0,350,10,DST
"Chiefs, KC",0.9,0.0,2.0,39.5,0.8,1.1,0.1,16.2,197.0,132.0,329,10,DST
"Jets, NYJ",0.8,0.0,2.5,38.4,0.6,0.9,0.09,19.0,216.0,91.0,307,9,DST
"Steelers, PIT",0.7,0.0,2.4,43.8,0.9,1.2,0.04,18.8,232.0,110.0,342,9,DST
"Redskins, WAS",0.9,0.1,2.4,42.5,1.0,1.4,0.23,22.9,217.0,135.0,352,9,DST
"Giants, NYG",0.9,0.0,2.2,39.5,0.6,0.8,0.08,18.3,230.0,80.0,310,9,DST
"Bengals, CIN",1.1,0.0,1.7,43.6,0.4,0.6,0.09,20.5,250.0,124.0,374,9,DST
"Titans, TEN",0.6,0.0,2.6,41.1,0.7,1.0,0.32,26.6,218.0,107.0,325,9,DST
"Eagles, PHI",1.2,0.0,2.1,42.6,0.8,1.1,0.16,22.8,280.0,81.0,361,9,DST
"Colts, IND",0.8,0.0,2.2,41.9,0.7,0.9,0.24,26.0,211.0,102.0,313,8,DST
"Panthers, CAR",1.0,0.0,2.3,43.9,0.9,1.2,0.07,25.9,262.0,101.0,363,8,DST
"Rams, LAR",0.9,0.0,2.6,45.9,0.7,0.9,0.1,25.1,251.0,133.0,384,8,DST
"Jaguars, JAC",0.9,0.0,2.2,45.2,0.7,1.0,0.12,25.7,184.0,117.0,301,8,DST
"Lions, DET",0.7,0.0,1.7,44.0,0.8,1.1,0.21,21.4,243.0,90.0,333,7,DST
"Bears, CHI",0.6,0.0,2.7,44.5,0.7,0.9,0.06,23.6,225.0,113.0,338,7,DST
"Buccaneers, TB",0.5,0.0,2.0,44.1,1.1,1.6,0.05,24.9,230.0,141.0,371,7,DST
"Saints, NO",0.9,0.1,2.0,43.7,1.0,1.4,0.19,29.1,292.0,109.0,401,7,DST
"49ers, SF",0.8,0.0,2.0,42.9,0.6,0.8,0.34,31.2,314.0,110.0,424,6,DST
"Browns, CLE",0.6,0.0,2.7,41.2,0.4,0.6,0.22,28.3,201.0,160.0,361,6,DST
