Player,Bye,Proj,Actual,Pts vs.*,Sack,Safe,TFL,Int,Fum Rec,TD,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,Yds,TD,TD,POS
No new player Notes Buffalo Buf - DEF Final (W) 14-13 vs Det,11,84,84,18.5,3.5,0.0,4.7,1.2,0.7,0.1,0.0,0.0,0.8,324,4.3,104.0,0.1,0.0,DST
No new player Notes Jacksonville Jax - DEF Final (L) 16-13 vs Was,9,88,88,14.5,3.0,0.1,5.6,1.1,0.7,0.2,0.1,0.0,0.5,293,4.2,70.3,0.2,0.1,DST
No new player Notes Houston Hou - DEF Final (W) 29-22 @ NYJ,10,89,89,19.3,3.2,0.1,5.0,0.9,0.6,0.2,0.1,0.0,0.3,324,3.0,93.8,0.2,0.1,DST
No new player Notes Seattle Sea - DEF Final (L) 26-23 @ SF,7,95,95,21.8,3.1,0.1,4.6,1.0,0.7,0.2,0.0,0.1,0.7,355,4.3,125.0,0.2,0.0,DST
No new player Notes Baltimore Bal - DEF Final (W) 20-12 vs TB,10,99,99,18.0,3.1,0.1,4.8,1.0,0.7,0.2,0.0,0.0,0.8,349,3.8,68.4,0.2,0.0,DST
No new player Notes Atlanta Atl - DEF Final (W) 40-14 vs Ari,8,105,105,17.3,3.2,0.0,4.8,1.0,0.7,0.2,0.0,0.0,0.4,308,3.6,87.1,0.2,0.0,DST
No new player Notes Minnesota Min - DEF Final (W) 41-17 vs Mia,10,112,112,18.8,2.8,0.1,4.7,0.9,0.5,0.2,0.1,0.0,0.8,344,3.5,81.2,0.2,0.1,DST
No new player Notes Los Angeles LAR - DEF Final (L) 30-23 vs Phi,12,134,134,19.3,2.9,0.1,4.8,1.0,0.5,0.2,0.1,0.0,0.3,330,3.1,49.6,0.2,0.1,DST
No new player Notes Chicago Chi - DEF Final (W) 24-17 vs GB,5,137,137,22.0,2.8,0.0,3.6,1.0,0.6,0.2,0.1,0.1,0.3,325,3.1,80.5,0.2,0.1,DST
No new player Notes Detroit Det - DEF Final (L) 14-13 @ Buf,6,168,168,21.0,2.9,0.0,3.8,1.0,0.7,0.1,0.0,0.1,0.5,320,3.0,82.4,0.1,0.0,DST
Player Note Cleveland Cle - DEF Final (W) 17-16 @ Den,11,179,179,24.3,2.7,0.0,3.8,0.8,0.6,0.2,0.1,0.0,0.4,375,3.1,75.0,0.2,0.1,DST
No new player Notes Tennessee Ten - DEF Final (W) 17-0 @ NYG,8,186,186,20.8,2.6,0.0,3.5,0.8,0.6,0.1,0.1,0.1,0.4,346,2.9,79.9,0.1,0.1,DST
No new player Notes New York NYG - DEF Final (L) 17-0 vs Ten,9,200,200,22.3,2.4,0.0,3.0,0.9,0.5,0.1,0.1,0.1,0.8,356,3.3,81.8,0.1,0.1,DST
No new player Notes Washington Was - DEF Final (W) 16-13 @ Jax,4,215,215,22.0,2.8,0.0,3.7,0.8,0.6,0.2,0.0,0.0,0.4,321,2.7,67.3,0.2,0.0,DST
No new player Notes New Orleans NO - DEF Final (W) 12-9 @ Car,6,226,226,22.8,2.6,0.0,3.5,0.8,0.5,0.1,0.1,0.0,0.4,365,2.9,72.3,0.1,0.1,DST
No new player Notes Denver Den - DEF Final (L) 17-16 vs Cle,10,235,235,22.8,2.7,0.0,3.5,0.8,0.6,0.2,0.1,0.1,0.4,385,3.7,45.9,0.2,0.1,DST
No new player Notes New England NE - DEF Final (L) 17-10 @ Pit,11,245,245,27.0,2.5,0.1,4.0,0.8,0.5,0.1,0.0,0.1,0.6,413,3.2,70.4,0.1,0.0,DST
No new player Notes Dallas Dal - DEF Final (L) 23-0 @ Ind,8,255,255,23.3,2.7,0.0,3.8,0.9,0.6,0.1,0.0,0.0,0.6,377,2.7,62.4,0.1,0.0,DST
No new player Notes Cincinnati Cin - DEF Final (W) 30-16 vs Oak,9,260,260,22.0,2.4,0.0,3.5,0.8,0.5,0.1,0.0,0.1,0.6,373,2.6,76.5,0.1,0.0,DST
No new player Notes Green Bay GB - DEF Final (L) 24-17 @ Chi,7,267,267,24.5,2.4,0.0,3.2,0.8,0.6,0.1,0.0,0.0,0.3,383,3.3,58.7,0.1,0.0,DST
No new player Notes New York NYJ - DEF Final (L) 29-22 vs Hou,11,268,268,24.8,2.3,0.0,2.5,0.9,0.5,0.1,0.0,0.0,0.4,372,2.5,61.3,0.1,0.0,DST
No new player Notes Arizona Ari - DEF Final (L) 40-14 @ Atl,9,287,287,26.3,2.2,0.1,3.4,0.7,0.4,0.1,0.1,0.0,0.6,367,2.5,86.9,0.1,0.1,DST
No new player Notes Miami Mia - DEF Final (L) 41-17 @ Min,11,300,300,26.3,2.0,0.0,2.2,0.9,0.4,0.1,0.0,0.0,0.3,385,2.2,57.5,0.1,0.0,DST
No new player Notes Tampa Bay TB - DEF Final (L) 20-12 @ Bal,5,309,309,26.5,2.3,0.0,3.1,0.6,0.5,0.1,0.1,0.1,0.5,357,2.0,78.8,0.1,0.1,DST
No new player Notes Indianapolis Ind - DEF Final (W) 23-0 vs Dal,9,344,344,23.3,2.6,0.0,3.1,1.0,0.5,0.1,0.0,0.0,0.3,384,2.6,38.1,0.1,0.0,DST
No new player Notes Oakland Oak - DEF Final (L) 30-16 @ Cin,7,365,365,23.5,2.4,0.1,3.3,0.7,0.6,0.1,0.0,0.0,0.3,354,2.7,35.2,0.1,0.0,DST
No new player Notes Pittsburgh Pit - DEF Final (W) 17-10 vs NE,7,368,368,28.5,2.2,0.1,3.4,0.7,0.4,0.2,0.0,0.1,0.6,411,2.1,64.5,0.2,0.0,DST
No new player Notes Philadelphia Phi - DEF Final (W) 30-23 @ LAR,9,370,370,32.8,2.0,0.0,3.1,0.7,0.4,0.1,0.0,0.1,0.6,437,2.1,56.3,0.1,0.0,DST
No new player Notes Kansas City KC - DEF Final (L) 29-28 vs LAC,12,381,381,25.5,2.2,0.0,2.8,0.8,0.5,0.1,0.0,0.0,0.6,418,2.5,38.3,0.1,0.0,DST
No new player Notes Los Angeles LAC - DEF Final (W) 29-28 @ KC,8,398,398,29.0,2.0,0.0,3.4,0.7,0.4,0.2,0.0,0.0,0.5,457,2.2,74.1,0.2,0.0,DST
No new player Notes San Francisco SF - DEF Final (W) 26-23 vs Sea,11,419,419,22.3,2.1,0.0,2.8,0.7,0.5,0.1,0.0,0.0,0.3,403,3.0,27.1,0.1,0.0,DST
No new player Notes Carolina Car - DEF Final (L) 12-9 vs NO,4,457,457,27.8,2.3,0.0,3.3,0.7,0.5,0.1,0.0,0.1,0.7,428,2.6,26.6,0.1,0.0,DST
