Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Los Angeles Chargers,DST,LAC,17.0,290,1.0,0.6,3.2,0.0,0.0,0.2
Los Angeles Rams,DST,LAR,15.5,332,1.0,0.5,3.0,0.1,0.0,0.4
Houston Texans,DST,HOU,19.0,395,1.0,0.6,3.3,0.1,0.0,0.2
Chicago Bears,DST,CHI,19.0,354,0.8,0.6,2.9,0.0,0.1,0.30000000000000004
Philadelphia Eagles,DST,PHI,21.8,344,1.1,0.6,3.0,0.1,0.1,0.2
Denver Broncos,DST,DEN,19.3,351,0.8,0.6,2.8,0.0,0.1,0.30000000000000004
Dallas Cowboys,DST,DAL,19.3,371,1.0,0.7,3.3,0.0,0.0,0.0
New York Jets,DST,NYJ,19.8,331,1.0,0.6,2.7,0.0,0.0,0.1
Atlanta Falcons,DST,ATL,19.0,352,0.8,0.6,2.6,0.0,0.0,0.1
Washington Redskins,DST,WAS,21.0,373,0.8,0.6,2.8,0.0,0.0,0.2
New Orleans Saints,DST,NO,20.5,346,0.9,0.5,2.8,0.0,0.0,0.2
Baltimore Ravens,DST,BAL,21.3,326,1.0,0.7,2.9,0.1,0.0,0.1
Jacksonville Jaguars,DST,JAX,22.8,363,0.9,0.5,2.5,0.1,0.0,0.30000000000000004
Cincinnati Bengals,DST,CIN,22.3,365,0.9,0.5,2.5,0.0,0.1,0.2
Minnesota Vikings,DST,MIN,22.5,337,0.8,0.5,2.5,0.1,0.0,0.30000000000000004
Pittsburgh Steelers,DST,PIT,23.8,410,0.8,0.5,2.5,0.1,0.1,0.2
New England Patriots,DST,NE,21.3,312,0.8,0.5,2.5,0.1,0.1,0.1
New York Giants,DST,NYG,22.3,364,0.7,0.4,2.0,0.0,0.1,0.30000000000000004
Tennessee Titans,DST,TEN,22.5,341,0.6,0.5,2.0,0.0,0.1,0.30000000000000004
Seattle Seahawks,DST,SEA,23.5,361,0.7,0.5,2.1,0.1,0.1,0.1
Tampa Bay Buccaneers,DST,TB,24.8,414,0.6,0.5,2.3,0.0,0.1,0.2
Miami Dolphins,DST,MIA,22.8,337,0.7,0.5,2.0,0.0,0.0,0.2
Green Bay Packers,DST,GB,22.5,392,0.7,0.5,2.2,0.0,0.0,0.1
San Francisco 49ers,DST,SF,21.3,395,0.9,0.5,2.6,0.0,0.0,0.2
Buffalo Bills,DST,BUF,24.5,394,0.6,0.3,1.8,0.0,0.0,0.2
Detroit Lions,DST,DET,27.3,389,0.7,0.5,2.0,0.0,0.1,0.2
Carolina Panthers,DST,CAR,24.5,376,0.8,0.5,2.3,0.0,0.1,0.1
Oakland Raiders,DST,OAK,25.8,375,0.6,0.5,2.1,0.1,0.0,0.1
Cleveland Browns,DST,CLE,30.0,421,0.6,0.4,1.9,0.0,0.0,0.2
Arizona Cardinals,DST,ARI,28.0,374,0.6,0.4,1.9,0.1,0.0,0.2
Kansas City Chiefs,DST,KC,28.3,406,0.7,0.5,2.2,0.0,0.0,0.1
Indianapolis Colts,DST,IND,27.0,389,0.6,0.4,1.9,0.0,0.0,0.1
