Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Blk,Return Yds,PA,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,188.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,427.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,72.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,80.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,425.0,0.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,349.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,373.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,82.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,275.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,42.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,412.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,432.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,475.0,0.0,0.0,0.0,0.0,1.0,DST
Indianapolis Colts,IND,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,82.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,436.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,439.0,0.0,0.0,0.0,1.0,0.0,DST
New York Giants,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,298.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,57.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,302.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,257.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,346.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,480.0,0.0,0.0,0.0,0.0,1.0,DST
Carolina Panthers,CAR,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,35.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,442.0,0.0,0.0,0.0,1.0,0.0,DST
New England Patriots,NE,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,47.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,480.0,0.0,0.0,0.0,0.0,1.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,137.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,373.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,281.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,47.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,327.0,0.0,0.0,1.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,271.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,73.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,449.0,0.0,0.0,0.0,1.0,0.0,DST
Houston Texans,HOU,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,1.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,351.0,0.0,0.0,1.0,0.0,0.0,DST
