Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Blk,PA,POS
San Francisco 49ers,SF,1.0,2.06,0.79,0.61,0.04,0.12,0.09,19.48,DST
Chicago Bears,CHI,1.0,2.69,0.78,0.66,0.06,0.21,0.08,21.21,DST
Cincinnati Bengals,CIN,1.0,1.89,0.88,0.69,0.03,0.11,0.08,24.64,DST
Buffalo Bills,BUF,1.0,1.78,0.74,0.66,0.03,0.13,0.08,24.95,DST
Denver Broncos,DEN,1.0,1.84,0.87,0.64,0.03,0.14,0.09,19.67,DST
Cleveland Browns,CLE,1.0,1.76,0.62,0.67,0.03,0.11,0.08,27.22,DST
Tampa Bay Buccaneers,TB,1.0,1.83,0.63,0.71,0.03,0.15,0.09,25.62,DST
Arizona Cardinals,ARI,1.0,2.37,0.65,0.61,0.04,0.1,0.07,25.46,DST
Los Angeles Chargers,LAC,1.0,2.68,1.14,0.64,0.04,0.12,0.06,19.94,DST
Kansas City Chiefs,KC,1.0,1.85,0.76,0.6,0.02,0.11,0.09,24.69,DST
Indianapolis Colts,IND,1.0,1.76,0.63,0.62,0.02,0.12,0.1,24.94,DST
Dallas Cowboys,DAL,1.0,1.9,0.92,0.55,0.03,0.11,0.07,19.86,DST
Miami Dolphins,MIA,1.0,2.45,0.99,0.47,0.04,0.1,0.11,23.86,DST
Philadelphia Eagles,PHI,1.0,1.98,1.16,0.64,0.03,0.12,0.09,20.06,DST
Atlanta Falcons,ATL,1.0,2.38,0.94,0.71,0.05,0.12,0.07,20.29,DST
New York Giants,NYG,1.0,2.12,0.93,0.58,0.03,0.11,0.07,25.65,DST
Jacksonville Jaguars,JAX,1.0,2.0,0.91,0.66,0.03,0.12,0.08,21.74,DST
New York Jets,NYJ,1.0,2.16,1.0,0.69,0.05,0.12,0.08,19.34,DST
Detroit Lions,DET,1.0,1.9,0.86,0.67,0.02,0.13,0.11,23.1,DST
Green Bay Packers,GB,1.0,2.26,0.94,0.65,0.05,0.1,0.07,24.44,DST
Carolina Panthers,CAR,1.0,2.14,0.8,0.64,0.03,0.11,0.08,21.91,DST
New England Patriots,NE,1.0,2.08,0.83,0.7,0.02,0.1,0.08,22.47,DST
Oakland Raiders,OAK,1.0,1.71,0.82,0.62,0.02,0.1,0.08,24.72,DST
Los Angeles Rams,LAR,1.0,2.25,0.91,0.69,0.04,0.13,0.12,17.38,DST
Baltimore Ravens,BAL,1.0,2.38,0.96,0.62,0.03,0.11,0.09,18.94,DST
Washington Redskins,WAS,1.0,2.03,1.02,0.56,0.03,0.1,0.07,18.6,DST
New Orleans Saints,NO,1.0,2.78,0.94,0.59,0.06,0.12,0.08,17.37,DST
Seattle Seahawks,SEA,1.0,2.37,0.95,0.74,0.03,0.14,0.09,20.65,DST
Pittsburgh Steelers,PIT,1.0,2.72,0.81,0.67,0.04,0.11,0.1,19.98,DST
Houston Texans,HOU,1.0,2.47,0.91,0.66,0.03,0.1,0.08,22.6,DST
Tennessee Titans,TEN,1.0,2.62,1.13,0.62,0.05,0.13,0.06,19.79,DST
Minnesota Vikings,MIN,1.0,2.39,0.99,0.57,0.04,0.12,0.06,19.9,DST
