Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Los Angeles Chargers,DST,LAC,9.9,1.1,0.4,2.5, ,0.2
Los Angeles Rams,DST,LAR,7.6,0.6,0.6,2.8, ,0.2
Houston Texans,DST,HOU,7.5,0.9,0.5,3.3, ,0.2
Miami Dolphins,DST,MIA,7.1,0.9,0.5,2.7, ,0.2
Tennessee Titans,DST,TEN,7.0,1.0,0.5,2.6, ,0.2
Dallas Cowboys,DST,DAL,6.5,0.9,0.6,2.0, ,0.2
Atlanta Falcons,DST,ATL,6.4,0.7,0.6,2.5, ,0.2
Pittsburgh Steelers,DST,PIT,6.4,1.0,0.4,3.0, ,0.2
Minnesota Vikings,DST,MIN,6.4,0.7,0.4,2.8, ,0.2
Philadelphia Eagles,DST,PHI,6.3,1.1,0.6,2.0, ,0.2
New Orleans Saints,DST,NO,6.2,0.6,0.4,3.1, ,0.2
Baltimore Ravens,DST,BAL,6.1,0.7,0.5,2.2, ,0.2
Seattle Seahawks,DST,SEA,6.0,0.6,0.4,2.5, ,0.2
New York Jets,DST,NYJ,6.0,0.7,0.5,2.1, ,0.2
Chicago Bears,DST,CHI,5.9,0.5,0.4,2.8, ,0.1
Washington Redskins,DST,WAS,5.8,1.0,0.5,2.4, ,0.2
New York Giants,DST,NYG,5.8,0.9,0.5,1.5, ,0.2
Green Bay Packers,DST,GB,5.7,1.0,0.4,2.6, ,0.2
Jacksonville Jaguars,DST,JAX,5.7,0.7,0.6,2.5, ,0.2
Denver Broncos,DST,DEN,5.7,0.8,0.5,1.6, ,0.2
Detroit Lions,DST,DET,5.6,1.0,0.4,2.1, ,0.2
Cincinnati Bengals,DST,CIN,5.5,0.8,0.4,2.0, ,0.2
Arizona Cardinals,DST,ARI,5.4,0.7,0.7,2.2, ,0.2
Carolina Panthers,DST,CAR,5.2,0.6,0.6,2.3, ,0.2
Tampa Bay Buccaneers,DST,TB,5.1,0.9,0.6,1.6, ,0.2
Cleveland Browns,DST,CLE,4.9,0.8,0.6,1.9, ,0.2
San Francisco 49ers,DST,SF,4.9,0.8,0.5,2.0, ,0.2
Oakland Raiders,DST,OAK,4.9,0.9,0.5,1.5, ,0.2
New England Patriots,DST,NE,4.8,0.8,0.4,2.1, ,0.1
Buffalo Bills,DST,BUF,4.5,1.0,0.5,1.1, ,0.2
Kansas City Chiefs,DST,KC,3.4,0.9,0.5,2.0, ,0.2
Indianapolis Colts,DST,IND,2.9,0.3,0.4,1.5, ,0.1
