Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Los Angeles Rams,DST,LAR,17.3,286,1.5,0.7,3.2,0.0,0.31
Baltimore Ravens,DST,BAL,16.5,270,1.3,1.1,2.8,0.0,0.3
Houston Texans,DST,HOU,19.7,254,0.9,0.8,3.3,0.0,0.22
Chicago Bears,DST,CHI,18.2,329,1.2,0.8,4.0,0.1,0.28
Denver Broncos,DST,DEN,17.5,280,1.1,0.9,2.1,0.0,0.29
Los Angeles Chargers,DST,LAC,15.0,279,1.1,0.5,2.8,0.0,0.23
Philadelphia Eagles,DST,PHI,16.6,334,1.4,1.1,1.9,0.0,0.33
New York Jets,DST,NYJ,18.7,326,1.4,0.7,1.5,0.0,0.35
New Orleans Saints,DST,NO,19.2,390,0.7,0.9,3.1,0.0,0.25
Dallas Cowboys,DST,DAL,18.2,331,0.6,1.0,2.6,0.0,0.28
Minnesota Vikings,DST,MIN,22.0,292,0.9,0.7,2.7,0.0,0.25
Washington Redskins,DST,WAS,23.2,340,1.2,0.8,3.4,0.1,0.29
Detroit Lions,DST,DET,26.9,368,1.1,1.2,2.5,0.0,0.37
Atlanta Falcons,DST,ATL,19.2,310,0.8,0.8,2.3,0.0,0.23
Seattle Seahawks,DST,SEA,20.0,305,0.5,0.9,2.6,0.1,0.2
New York Giants,DST,NYG,20.5,331,1.0,0.8,1.9,0.0,0.21
Tennessee Titans,DST,TEN,22.0,338,1.3,0.9,2.5,0.0,0.3
New England Patriots,DST,NE,17.3,350,0.8,0.7,1.6,0.0,0.25
Miami Dolphins,DST,MIA,23.0,329,1.2,0.9,1.9,0.0,0.33
Oakland Raiders,DST,OAK,26.2,375,0.9,1.1,2.1,0.0,0.24
Kansas City Chiefs,DST,KC,26.1,415,1.2,0.8,0.9,0.0,0.42
Jacksonville Jaguars,DST,JAX,22.2,349,0.8,0.8,2.5,0.1,0.23
San Francisco 49ers,DST,SF,23.1,347,1.0,0.8,2.0,0.0,0.27
Cincinnati Bengals,DST,CIN,21.9,299,0.9,0.3,1.8,0.0,0.17
Carolina Panthers,DST,CAR,23.8,333,0.7,0.7,3.0,0.0,0.22
Indianapolis Colts,DST,IND,26.3,338,0.6,1.2,1.6,0.0,0.25
Green Bay Packers,DST,GB,22.5,337,0.6,0.9,2.3,0.0,0.2
Tampa Bay Buccaneers,DST,TB,21.3,373,0.6,1.2,1.4,0.0,0.22
Pittsburgh Steelers,DST,PIT,25.7,354,0.6,0.3,2.8,0.0,0.2
Buffalo Bills,DST,BUF,22.0,384,1.0,0.7,1.0,0.0,0.22
Arizona Cardinals,DST,ARI,27.1,327,0.8,1.1,2.1,0.1,0.24
