Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Los Angeles Rams,DST,LAR,16.1,302.6,1.2,0.7,3.1,0.0,0.3
Los Angeles Chargers,DST,LAC,17.3,301.7,1.2,0.6,2.7,0.0,0.2
Philadelphia Eagles,DST,PHI,19.0,332.8,1.2,0.8,2.2,0.0,0.2
Chicago Bears,DST,CHI,19.1,339.5,0.9,0.6,3.0,0.1,0.2
New Orleans Saints,DST,NO,18.9,366.6,0.8,0.7,3.0,0.0,0.2
Baltimore Ravens,DST,BAL,18.9,287.9,1.0,0.7,2.5,0.0,0.2
New York Jets,DST,NYJ,18.2,319.8,1.1,0.6,2.1,0.0,0.2
Houston Texans,DST,HOU,20.4,304.7,1.0,0.7,3.3,0.0,0.2
Washington Redskins,DST,WAS,22.0,344.4,1.1,0.7,2.6,0.1,0.3
Denver Broncos,DST,DEN,19.6,318.3,0.9,0.6,2.1,0.0,0.2
Dallas Cowboys,DST,DAL,19.3,337.4,0.9,0.7,2.2,0.0,0.2
Tennessee Titans,DST,TEN,22.3,339.5,1.0,0.7,2.7,0.0,0.2
Detroit Lions,DST,DET,25.2,362.9,1.1,0.7,2.1,0.0,0.3
Minnesota Vikings,DST,MIN,20.9,311.5,0.9,0.6,2.7,0.0,0.2
Miami Dolphins,DST,MIA,22.3,334.8,1.0,0.7,2.4,0.0,0.2
Seattle Seahawks,DST,SEA,20.1,300.0,0.8,0.7,2.7,0.1,0.2
Pittsburgh Steelers,DST,PIT,25.4,374.1,0.9,0.4,2.6,0.0,0.2
Atlanta Falcons,DST,ATL,20.2,323.3,0.8,0.7,2.4,0.0,0.2
Arizona Cardinals,DST,ARI,26.0,340.7,0.8,0.7,2.1,0.1,0.2
Jacksonville Jaguars,DST,JAX,24.2,364.1,0.8,0.7,2.3,0.1,0.2
San Francisco 49ers,DST,SF,23.5,376.0,0.9,0.6,2.1,0.0,0.2
Oakland Raiders,DST,OAK,24.4,347.6,0.8,0.7,1.9,0.0,0.2
Cincinnati Bengals,DST,CIN,21.3,327.6,0.9,0.5,2.1,0.0,0.2
Green Bay Packers,DST,GB,24.5,354.3,0.8,0.7,2.2,0.0,0.2
Kansas City Chiefs,DST,KC,28.1,406.1,1.0,0.6,1.5,0.0,0.2
Tampa Bay Buccaneers,DST,TB,24.5,397.7,0.8,0.8,1.7,0.0,0.2
New England Patriots,DST,NE,21.7,371.9,0.9,0.6,2.1,0.0,0.2
Carolina Panthers,DST,CAR,24.6,351.7,0.7,0.6,2.3,0.0,0.2
Buffalo Bills,DST,BUF,24.6,391.1,0.9,0.6,1.5,0.0,0.2
New York Giants,DST,NYG,22.8,345.9,0.8,0.5,1.8,0.0,0.2
Indianapolis Colts,DST,IND,27.0,368.0,0.6,0.7,1.7,0.0,0.1
Cleveland Browns,DST,CLE,31.2,400.1,0.6,0.7,1.6,0.0,0.1
