Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Tack,Ast,Frc Fum,POS
Dwayne Allen,NE,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,TE
Daniel Brown,CHI,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,7.0,94.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,4.0,34.0,0.0,0.0,1.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,10.0,103.0,1.0,1.0,0.0,0.0,0.0,TE
Gerald Everett,LA,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Coby Fleener,,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,3.0,34.0,1.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,5.0,82.0,2.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,2.0,33.0,0.0,0.0,1.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,5.0,76.0,1.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,3.0,48.0,0.0,0.0,0.0,0.0,0.0,TE
Jacob Hollister,NE,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,TE
Troy Niklas,,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,4.0,63.0,2.0,0.0,0.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,4.0,72.0,1.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,TE
Adam Shaheen,CHI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,1.0,-3.0,0.0,0.0,1.0,0.0,1.0,TE
Lee Smith,OAK,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,TE
Julius Thomas,,1.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Austin Traylor,,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,TE
Nick Vannett,SEA,1.0,2.0,29.0,1.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,4.0,63.0,1.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,TE
