Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,Mia,L 17-20,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Bears D/ST D/ST,@Bal,W 27-24,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Browns D/ST D/ST,@Hou,L 17-33,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Broncos D/ST D/ST,NYG,L 10-23,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@NO,L 38-52,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Min,L 10-23,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,Ind,W 36-22,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@Ten,L 22-36,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Pit,L 13-19,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,LAC,L 16-17,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@Jax,W 27-17,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@Atl,W 20-17,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,GB,W 23-10,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@NYJ,W 24-17,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,Det,W 52-38,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@Den,W 23-10,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,NE,L 17-24,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@Car,W 28-23,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,TB,W 38-33,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@KC,W 19-13,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@Oak,W 17-16,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Wsh,L 24-26,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Buccaneers D/ST D/ST,@Ari,L 33-38,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,SF,W 26-24,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,Phi,L 23-28,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,LAR,L 17-27,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,Chi,L 24-27,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,Cle,W 33-17,--,--,--,--,--,--,--,--,DST
