Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,39.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,419.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,148.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,291.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,266.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,340.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,10.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,432.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,414.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,439.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,157.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,473.0,0.0,0.0,0.0,1.0,DST
Miami Dolphins,MIA,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,339.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,305.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,289.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,20.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,249.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,51.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,375.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,150.0,1.0,34.0,0.0,0.0,0.0,1.0,0.0,379.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,74.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,351.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,310.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,37.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,408.0,0.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,86.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,343.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,141.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,389.0,0.0,1.0,0.0,0.0,DST
