Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Broncos, DEN",1.1,0.0,2.1,38.6,0.7,0.9,0.23,10.8,155.0,71.0,226,17,DST
"Texans, HOU",1.7,0.0,2.5,35.3,0.8,1.1,0.37,17.0,199.0,90.0,289,15,DST
"Ravens, BAL",1.5,0.1,1.9,40.7,1.2,1.7,0.35,12.7,196.0,112.0,308,15,DST
"Falcons, ATL",1.1,0.0,2.0,38.0,0.6,0.8,0.23,15.7,166.0,98.0,264,12,DST
"Packers, GB",0.6,0.0,2.0,40.3,1.0,1.4,0.2,18.5,199.0,94.0,293,12,DST
"Buccaneers, TB",1.1,0.1,2.2,43.6,1.1,1.4,0.25,20.1,280.0,79.0,359,12,DST
"Redskins, WAS",0.8,0.0,3.2,41.4,0.9,1.3,0.26,19.1,197.0,114.0,311,12,DST
"Patriots, NE",1.1,0.0,2.3,40.4,0.9,1.2,0.28,14.2,207.0,110.0,317,11,DST
"Giants, NYG",1.2,0.0,2.3,43.4,0.9,1.3,0.24,20.9,196.0,120.0,316,11,DST
"Chiefs, KC",1.4,0.0,1.3,41.1,0.8,1.0,0.36,17.2,239.0,118.0,357,11,DST
"Jaguars, JAC",0.8,0.1,2.1,39.1,1.1,1.5,0.29,21.0,179.0,100.0,279,11,DST
"Panthers, CAR",0.7,0.0,3.0,45.9,0.8,1.1,0.22,19.3,193.0,108.0,301,11,DST
"Eagles, PHI",1.3,0.0,2.4,42.0,1.1,1.6,0.32,22.6,217.0,119.0,336,11,DST
"Rams, LAR",1.1,0.0,1.7,44.1,0.8,1.1,0.25,22.8,147.0,150.0,297,11,DST
"Cardinals, ARI",1.2,0.0,1.9,41.8,0.6,0.8,0.25,18.7,266.0,81.0,347,11,DST
"Bears, CHI",1.1,0.0,2.2,41.8,0.6,0.9,0.2,21.0,173.0,103.0,276,10,DST
"Raiders, OAK",1.0,0.0,1.7,41.1,1.2,1.6,0.31,21.5,283.0,86.0,369,9,DST
"Vikings, MIN",0.7,0.0,3.1,42.4,0.8,1.1,0.27,21.0,235.0,109.0,344,9,DST
"Colts, IND",1.2,0.0,1.9,40.5,0.8,1.1,0.29,26.8,213.0,131.0,344,9,DST
"Titans, TEN",0.9,0.1,2.6,41.2,0.7,1.0,0.25,21.9,221.0,88.0,309,9,DST
"Chargers, LAC",0.8,0.0,2.8,38.9,0.6,0.9,0.21,27.1,188.0,111.0,299,8,DST
"49ers, SF",0.7,0.0,1.6,42.1,1.2,1.7,0.23,25.9,275.0,102.0,377,8,DST
"Steelers, PIT",0.5,0.0,2.8,42.5,0.8,1.1,0.17,24.2,189.0,128.0,317,8,DST
"Dolphins, MIA",0.8,0.0,1.9,44.9,0.6,0.8,0.21,26.0,288.0,119.0,407,7,DST
"Browns, CLE",1.1,0.0,2.8,48.8,0.8,1.2,0.21,27.7,234.0,129.0,363,7,DST
"Saints, NO",0.5,0.0,2.7,41.7,0.5,0.8,0.18,21.5,243.0,91.0,334,7,DST
"Lions, DET",0.6,0.0,1.5,48.0,0.7,1.0,0.27,26.0,304.0,96.0,400,7,DST
