Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Nick Novak, LAC",2.3,2.9,0,2.5,2.5,0.0,9,K
"Stephen Gostkowski, NE",2.0,2.3,0,2.7,2.7,0.0,8,K
"Graham Gano, CAR",1.9,2.5,0,3.0,3.0,0.0,8,K
"Jason Myers, NYJ",2.1,2.5,0,2.2,2.2,0.0,8,K
"Mason Crosby, GB",1.9,2.1,0,2.8,2.8,0.0,8,K
"Stephen Hauschka, BUF",1.9,2.1,0,2.7,2.7,0.0,8,K
"Justin Tucker, BAL",2.1,2.3,0,1.9,1.9,0.0,8,K
"Chris Boswell, PIT",1.9,2.2,0,2.7,2.7,0.0,8,K
"Brandon McManus, DEN",1.9,2.1,0,2.5,2.5,0.0,8,K
"Wil Lutz, NO",1.6,2.2,0,3.1,3.1,0.0,8,K
"Caleb Sturgis, LAC",1.8,2.1,0,2.5,2.5,0.0,8,K
"Chandler Catanzaro, CAR",1.8,2.0,0,2.6,2.6,0.0,8,K
"Cairo Santos, TB",1.8,2.1,0,2.5,2.5,0.0,8,K
"Sebastian Janikowski, SEA",1.6,2.0,0,2.4,2.4,0.0,7,K
"Adam Vinatieri, IND",1.7,1.8,0,2.0,2.0,0.0,7,K
"Dustin Hopkins, WAS",1.7,1.8,0,2.2,2.2,0.0,7,K
"Connor Barth, CHI",1.6,2.2,0,2.2,2.2,0.0,7,K
"Matt Prater, DET",1.5,1.7,0,2.2,2.2,0.0,7,K
"Ryan Succop, TEN",1.4,1.6,0,2.4,2.4,0.0,6,K
"Dan Bailey, MIN",1.4,1.7,0,2.1,2.1,0.0,6,K
"Matt Bryant, ATL",1.5,1.6,0,1.8,1.8,0.0,6,K
"Greg Zuerlein, LAR",1.4,1.7,0,1.7,1.7,0.0,6,K
"Mike Nugent, OAK",1.4,1.6,0,1.7,1.7,0.0,5,K
"Josh Lambo, JAC",1.3,1.5,0,2.0,2.0,0.0,5,K
"Cody Parkey, CHI",1.3,1.7,0,1.6,1.6,0.0,5,K
"Nick Folk, TB",1.2,1.4,0,1.9,1.9,0.0,5,K
"Andrew Franks, MIA",1.2,1.5,0,1.7,1.7,0.0,5,K
"Phil Dawson, ARI",1.1,1.3,0,1.7,1.7,0.0,5,K
"Aldrick Rosas, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Kai Forbath, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Randy Bullock, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jordan Gay, TEN",0.0,0.0,0,0.0,0.0,0.0,0,K
