Player,Team,Salary
Patrick Mahomes,KC,7100
Jared Goff,LAR,6400
Drew Brees,NO,6500
Cam Newton,CAR,6200
Ben Roethlisberger,PIT,5800
Philip Rivers,LAC,6000
Aaron Rodgers,GB,5900
Andrew Luck,IND,5900
Lamar Jackson,BAL,4700
Andy Dalton,CIN,5000
Kirk Cousins,MIN,5600
Russell Wilson,SEA,5800
Eli Manning,NYG,5200
Mitchell Trubisky,CHI,5700
Jameis Winston,TB,5600
Derek Carr,OAK,4700
Josh Rosen,ARI,4800
Dak Prescott,DAL,5200
Matt Ryan,ATL,6100
Matthew Stafford,DET,5400
Ryan Fitzpatrick,TB,5600
Deshaun Watson,HOU,5700
Colt McCoy,WAS,4400
Case Keenum,DEN,4800
Blaine Gabbert,TEN,4500
Alex Smith,WAS,4800
Blake Bortles,JAX,5100
Marcus Mariota,TEN,5500
Carson Wentz,PHI,6300
Taysom Hill,NO,4000
Robert Griffin III,BAL,4700
Jeff Driskel,CIN,4300
Taylor Heinicke,CAR,4000
Joe Webb,HOU,4000
Teddy Bridgewater,NO,4500
Jacoby Brissett,IND,4500
