Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Jared Goff,QB,LAR,315,3,1,10,0
Patrick Mahomes,QB,KC,305,3,1,10,0
Drew Brees,QB,NO,305,3,0,0,0
Ryan Fitzpatrick,QB,TB,320,2,1,15,0
Andrew Luck,QB,IND,255,3,1,5,0
Carson Wentz,QB,PHI,310,2,1,15,0
Mitchell Trubisky,QB,CHI,265,2,1,30,0
Deshaun Watson,QB,HOU,250,2,1,35,0
Aaron Rodgers,QB,GB,275,2,0,20,0
Blake Bortles,QB,JAX,260,2,1,25,0
Russell Wilson,QB,SEA,240,2,1,35,0
Lamar Jackson,QB,BAL,155,1,1,55,1
Cam Newton,QB,CAR,235,2,0,35,0
Kirk Cousins,QB,MIN,280,2,0,10,0
Eli Manning,QB,NYG,280,2,1,0,0
Marcus Mariota,QB,TEN,230,2,0,25,0
Dak Prescott,QB,DAL,250,2,0,15,0
Ben Roethlisberger,QB,PIT,270,2,1,5,0
Matt Ryan,QB,ATL,270,2,1,5,0
Philip Rivers,QB,LAC,255,2,1,0,0
Josh Rosen,QB,ARI,225,2,1,10,0
Matthew Stafford,QB,DET,235,2,1,5,0
Alex Smith,QB,WAS,235,1,0,20,0
Case Keenum,QB,DEN,245,1,1,10,0
Andy Dalton,QB,CIN,220,1,1,10,0
Derek Carr,QB,OAK,220,1,1,5,0
Robert Griffin III,QB,BAL,35,0,0,5,0
Taysom Hill,QB,NO,0,0,0,15,0
