Player,Team,Salary
Chris Godwin,TAM,5100
Tyreek Hill,KAN,7800
Mike Evans,TAM,7300
Zay Jones,BUF,5300
Julio Jones,ATL,8600
DeAndre Hopkins,HOU,8700
Brandin Cooks,LAR,7000
Josh Reynolds,LAR,5400
Jarvis Landry,CLE,6100
Nelson Agholor,PHI,5700
Cole Beasley,DAL,5000
Julian Edelman,NWE,7100
T.J. Jones,DET,5200
Mohamed Sanu,ATL,5800
Antonio Callaway,CLE,4800
Demarcus Robinson,KAN,5200
Cody Latimer,NYG,4500
Stefon Diggs,MIN,6700
Alshon Jeffery,PHI,6500
Kendrick Bourne,SFO,4900
Curtis Samuel,CAR,5600
Tyler Lockett,SEA,6600
Mike Williams,LAC,5700
Phillip Dorsett,NWE,4600
Brandon Powell,DET,4500
Breshad Perriman,CLE,5300
Jordy Nelson,OAK,5200
JuJu Smith-Schuster,PIT,7900
Calvin Ridley,ATL,5900
Larry Fitzgerald,ARI,6300
Richie James,SFO,4600
Rashard Higgins,CLE,5000
Tre'Quan Smith,NOR,4600
Robert Foster,BUF,5800
D.J. Moore,CAR,5300
Deontay Burnett,NYJ,4600
Sterling Shepard,NYG,5500
Chris Hogan,NWE,5100
Alex Erickson,CIN,4500
Adam Humphries,TAM,6300
Eli Rogers,PIT,5000
Michael Gallup,DAL,5400
Chad Williams,ARI,4500
Keenan Allen,LAC,7600
Kenny Stills,MIA,4900
Taylor Gabriel,CHI,4800
Andy Jones,DET,4500
James Washington,PIT,4600
DaeSean Hamilton,DEN,5400
Keelan Cole,JAC,4600
Marquez Valdes-Scantling,GNB,5000
Allen Hurns,DAL,4500
Michael Thomas,NOR,8400
Golden Tate,PHI,5200
Seth Roberts,OAK,5000
Javon Wims,CHI,4500
Trent Taylor,SFO,4700
Adam Thielen,MIN,7200
Tim Patrick,DEN,5500
Danny Amendola,MIA,4700
Vyncint Smith,HOU,4600
Andre Roberts,NYJ,4500
Josh Doctson,WAS,5100
Robby Anderson,NYJ,7000
Doug Baldwin,SEA,6700
Bennie Fowler,NYG,4600
Amari Cooper,DAL,6700
Robert Woods,LAR,7600
Jake Kumerow,GNB,5100
Tyrell Williams,LAC,5200
Trent Sherfield,ARI,4500
DeAndre Carter,HOU,5200
Randall Cobb,GNB,5000
Donte Moncrief,JAC,4800
Courtland Sutton,DEN,5900
Jarius Wright,CAR,5100
Michael Crabtree,BAL,4700
Willie Snead,BAL,5000
Chris Moore,BAL,4500
River Cracraft,DEN,4500
Gehrig Dieter,KAN,4500
Kevin White,CHI,4500
David Moore,SEA,5300
Michael Floyd,WAS,4500
Russell Gage,ATL,4500
Tommylee Lewis,NOR,4600
Auden Tate,CIN,4500
Tavon Austin,DAL,4500
Kelvin Benjamin,KAN,4700
Marcell Ateman,OAK,4600
Allen Lazard,GNB,4500
John Brown,BAL,4700
Jehu Chesson,WAS,4500
Laquon Treadwell,MIN,4600
Jaron Brown,SEA,4800
Jamison Crowder,WAS,5600
Travis Benjamin,LAC,4600
J'Mon Moore,GNB,4500
Ray-Ray McCloud,BUF,4500
Noah Brown,DAL,4500
Anthony Miller,CHI,4800
Josh Bellamy,CHI,4500
Ryan Switzer,PIT,4800
John Ross,CIN,5300
Dede Westbrook,JAC,5500
Marcus Kemp,KAN,4500
Brice Butler,MIA,4600
Darrius Heyward-Bey,PIT,4500
Brandon Zylstra,MIN,4500
Austin Carr,NOR,4700
Josh Malone,CIN,4500
Pharoh Cooper,ARI,4500
Geremy Davis,LAC,4500
JoJo Natson,LAR,4500
Torrey Smith,CAR,4600
Chris Conley,KAN,4700
D.J. Chark,JAC,4500
Charone Peake,NYJ,4500
KhaDarel Hodge,LAR,4500
Justin Watson,TAM,4500
DeVante Parker,MIA,4600
Matthew Slater,NWE,4500
Victor Bolden,BUF,4500
Cody Core,CIN,4700
Leonte Carroo,MIA,4500
Aldrick Robinson,MIN,4600
Corey Coleman,NYG,4700
Isaiah McKenzie,BUF,5100
Keith Kirkwood,NOR,4800
Damion Ratley,CLE,4500
Jordan Matthews,PHI,4600
Justin Hardy,ATL,4600
Marvin Hall,ATL,4500
Dwayne Harris,OAK,4500
