Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steven Jackson, NE RB",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Frank Gore, Mia RB",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren Sproles, Phi RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"John Kuhn, NO RB",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Reggie Bush, Buf RB",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAngelo Williams, Pit RB",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fred Jackson, Sea RB",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Adrian Peterson, Ari RB",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marshawn Lynch, Oak RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Ahmad Bradshaw, Ind RB",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Pierre Thomas, Wsh RB",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren McFadden, Dal RB",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Stewart, NYG RB",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Johnson, Ari RB",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Forte, NYJ RB",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jamaal Charles, Den RB",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerome Felton, Buf RB",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tim Hightower, SF RB",NYG,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
